Time,Driver,LapTime,LapNumber,Stint,Compound,TyreLife,Team,Location,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,LapTime_Sec,FuelLoad,Track_Evolution_Physics,Traction_1_5,Asphalt_Grip_1_5,Asphalt_Abrasion_1_5,Track_Evolution_1_5,Tyre_Stress_1_5,Braking_1_5,Lateral_1_5,Downforce_1_5,Min_Pressure_Front_PSI,Min_Pressure_Rear_PSI,Compound_Hard,Compound_Medium,Compound_Soft,Circuit_Length_KM,Total_Laps,Cumulative_Field_Dist_KM,Compound_Hard_Int,Compound_Medium_Int,Compound_Soft_Int,Wear_Severity_Index,Track_Flow_Type,Compound_Int,E_lap,Gap_To_Car_Ahead,Grip_Aero_Balance,Total_Min_Pressure,Pressure_Delta,LatOffset_Mean,LatOffset_Std,Lap_Gap,Prev_LapTime,Lag_2,Rolling_Avg_3
0 days 01:08:32.997000,ALB,0 days 00:01:33.866000,4.0,1.0,MEDIUM,4.0,Williams,Silverstone,21.4,55.0,1001.2,False,29.3,201,3.0,93.866,101.61538461538461,812.958,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,406.479,1,2,3,15,0.8333333333333334,2,31.822118594358194,1.9023940701569715,0.6,49.5,3.5,0.3817927391280979,0.5105550713159799,1.0,93.809,95.004,96.72566666666667
0 days 01:10:06.857000,ALB,0 days 00:01:33.860000,5.0,1.0,MEDIUM,5.0,Williams,Silverstone,21.4,55.0,1001.2,False,29.3,221,3.4,93.86,99.51923076923077,1048.598,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,524.299,1,2,3,15,0.8333333333333334,2,30.349984058738876,2.524002252787283,0.6,49.5,3.5,0.31625079216101076,0.3842858195211713,1.0,93.866,93.809,94.22633333333333
0 days 01:11:41.067000,ALB,0 days 00:01:34.210000,6.0,1.0,MEDIUM,6.0,Williams,Silverstone,21.4,55.0,1001.2,False,29.5,183,3.4,94.21,97.42307692307692,1284.238,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,642.119,1,2,3,15,0.8333333333333334,2,30.03008896101093,2.8956592806523984,0.6,49.5,3.5,0.2789160252974392,0.3366702562476981,1.0,93.86,93.866,93.84499999999998
0 days 01:13:15.166000,ALB,0 days 00:01:34.099000,7.0,1.0,MEDIUM,7.0,Williams,Silverstone,21.4,55.0,1001.2,False,29.2,190,4.0,94.099,95.32692307692308,1519.878,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,759.939,1,2,3,15,0.8333333333333334,2,30.11381611920271,2.7821074525995493,0.6,49.5,3.5,0.3277019284018979,0.41785965308833123,1.0,94.21,93.86,93.97866666666668
0 days 01:14:49.088000,ALB,0 days 00:01:33.922000,8.0,1.0,MEDIUM,8.0,Williams,Silverstone,21.5,55.0,1001.4,False,29.1,201,3.5,93.922,93.23076923076923,1755.518,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,877.759,1,2,3,15,0.8333333333333334,2,30.665184553181575,2.958631031101046,0.6,49.5,3.5,0.39547143769442583,0.46857728393595555,1.0,94.099,94.21,94.05633333333333
0 days 01:16:22.819000,ALB,0 days 00:01:33.731000,9.0,1.0,MEDIUM,9.0,Williams,Silverstone,21.3,55.0,1001.2,False,29.1,201,3.5,93.731,91.13461538461539,1991.158,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,995.579,1,2,3,15,0.8333333333333334,2,30.740550323671663,3.248267531635554,0.6,49.5,3.5,0.329964757660494,0.3866458372862947,1.0,93.922,94.099,94.077
0 days 01:24:12.265000,ALB,0 days 00:01:33.951000,14.0,1.0,MEDIUM,14.0,Williams,Silverstone,21.4,58.0,1001.5,False,28.7,191,3.7,93.951,80.65384615384616,3122.23,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,1561.115,1,2,3,15,0.8333333333333334,2,30.176433221658915,3.861019903020992,0.6,49.5,3.5,0.2658231885191178,0.30582002374405126,1.0,93.751,93.857,93.81666666666666
0 days 01:25:46.051000,ALB,0 days 00:01:33.786000,15.0,1.0,MEDIUM,15.0,Williams,Silverstone,20.9,61.0,1001.5,False,27.7,255,2.5,93.786,78.5576923076923,3346.088,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,1673.044,1,2,3,15,0.8333333333333334,2,30.03118864041445,2.9953709565556967,0.6,49.5,3.5,0.51452280353509,0.8446607038633549,1.0,93.951,93.751,93.85300000000001
0 days 01:27:20.394000,ALB,0 days 00:01:34.343000,16.0,1.0,MEDIUM,16.0,Williams,Silverstone,20.5,63.0,1001.5,False,27.8,241,1.8,94.343,76.46153846153845,3581.728,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,1790.864,1,2,3,15,0.8333333333333334,2,30.379645127028553,2.3300380618177305,0.6,49.5,3.5,0.4030549633078345,0.5365306005166909,1.0,93.786,93.951,93.82933333333334
0 days 01:28:54.101000,ALB,0 days 00:01:33.707000,17.0,1.0,MEDIUM,17.0,Williams,Silverstone,20.1,63.0,1001.4,False,27.9,222,2.2,93.707,74.36538461538461,3805.586,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,1902.793,1,2,3,15,0.8333333333333334,2,32.9636028273866,1.3678948776617545,0.6,49.5,3.5,0.44952843169036805,0.6221170620804718,1.0,94.343,93.786,94.02666666666669
