Location,Year,EventName,Pirelli_Link,Traction_1_5,Asphalt_Grip_1_5,Asphalt_Abrasion_1_5,Track_Evolution_1_5,Tyre_Stress_1_5,Braking_1_5,Lateral_1_5,Downforce_1_5,Min_Pressure_Front_PSI,Min_Pressure_Rear_PSI,Compound_Hard,Compound_Medium,Compound_Soft,Circuit_Length_KM,Total_Laps,Compound_Hard_Hardness,Compound_Medium_Hardness,Compound_Soft_Hardness
Sakhir,2022,Bahrain Grand Prix,https://press.pirelli.com/2022-bahrain-grand-prix---preview/,4,3,5,4,3,4,3,3,22.5,20.5,C1,C2,C3,5.412,57,0,2,3
Jeddah,2022,Saudi Arabian Grand Prix,https://press.pirelli.com/2022-saudi-arabia-grand-prix---preview/,2,3,2,4,3,2,3,2,23.5,21.0,C2,C3,C4,6.174,50,2,3,4
Melbourne,2022,Australian Grand Prix,https://press.pirelli.com/2022-australian-grand-prix---preview/,3,2,2,4,3,3,3,3,24.5,21.5,C2,C3,C5,5.303,58,2,3,5
Imola,2022,Emilia Romagna Grand Prix,https://press.pirelli.com/2022-italian-grand-prix---preview/,2,2,3,3,3,3,3,3,24.5,21.5,C2,C3,C4,4.909,63,2,3,4
Miami,2022,Miami Grand Prix,https://press.pirelli.com/2022-miami-grand-prix---preview/,3,3,2,5,3,3,3,2,24.5,20.5,C2,C3,C4,5.412,57,2,3,4
Barcelona,2022,Spanish Grand Prix,https://press.pirelli.com/2022-spanish-grand-prix---preview/,3,3,4,3,4,3,4,4,22.5,19.0,C1,C2,C3,4.675,66,0,2,3
Monaco,2022,Monaco Grand Prix,https://press.pirelli.com/2022-monaco-grand-prix--preview/,5,1,1,5,1,2,1,5,21.0,17.0,C3,C4,C5,3.337,78,3,4,5
Baku,2022,Azerbaijan Grand Prix,https://press.pirelli.com/2022-azerbaijan-grand-prix--preview/,5,1,1,5,3,4,1,1,24.5,21.5,C3,C4,C5,6.003,51,3,4,5
Montréal,2022,Canadian Grand Prix,https://press.pirelli.com/2022-canada-grand-prix---preview/,5,1,2,5,3,5,1,1,23.0,20.5,C3,C4,C5,4.361,70,3,4,5
Silverstone,2022,British Grand Prix,https://press.pirelli.com/2022-british-grand-prix--preview/,3,4,3,3,5,2,5,4,26.0,23.0,C1,C2,C3,5.891,52,0,2,3
Spielberg,2022,Austrian Grand Prix,https://press.pirelli.com/2022-austrian-grand-prix---preview/,3,3,4,3,3,3,3,3,24.0,20.0,C3,C4,C5,4.318,71,3,4,5
Le Castellet,2022,French Grand Prix,https://press.pirelli.com/2022-french-grand-prix--preview/,4,3,3,3,4,2,4,3,24.0,21.5,C2,C3,C4,5.842,53,2,3,4
Budapest,2022,Hungarian Grand Prix,https://press.pirelli.com/2022-hungarian-grand-prix---preview/,4,3,2,4,3,3,3,5,22.0,18.0,C2,C3,C4,4.381,70,2,3,4
Spa-Francorchamps,2022,Belgian Grand Prix,https://press.pirelli.com/2022-belgian-grand-prix---preview/,3,3,4,3,5,4,5,2,25.0,22.5,C2,C3,C4,7.004,44,2,3,4
Zandvoort,2022,Dutch Grand Prix,https://press.pirelli.com/2022-dutch-grand-prix--preview/,4,4,3,3,5,3,4,4,23.5,21.5,C1,C2,C3,4.259,72,0,2,3
Monza,2022,Italian Grand Prix,https://press.pirelli.com/2022-italian-grand-prix---preview-2/,3,2,3,3,5,4,2,1,25.5,22.5,C2,C3,C4,5.793,53,2,3,4
Marina Bay,2022,Singapore Grand Prix,https://press.pirelli.com/2022-singapore-grand-prix---preview/,5,2,3,4,2,5,2,5,22.0,18.0,C3,C4,C5,5.063,61,3,4,5
Suzuka,2022,Japanese Grand Prix,https://press.pirelli.com/2022-japanese-grand-prix---preview/,3,4,4,3,5,2,5,4,25.0,23.0,C1,C2,C3,5.807,53,0,2,3
Austin,2022,United States Grand Prix,https://press.pirelli.com/2022-united-states-grand-prix---preview-0/,3,4,4,3,5,2,5,4,23.0,20.0,C2,C3,C4,5.513,56,2,3,4
Mexico City,2022,Mexico City Grand Prix,https://press.pirelli.com/2022-mexican-grand-prix--preview/,3,2,2,4,2,3,2,5,23.5,20.5,C2,C3,C4,4.304,71,2,3,4
São Paulo,2022,São Paulo Grand Prix,https://press.pirelli.com/2022-brazilian-grand-prix---preview/,3,3,4,4,3,3,3,4,24.0,22.0,C2,C3,C4,4.309,71,2,3,4
Yas Island,2022,Abu Dhabi Grand Prix,https://press.pirelli.com/2022-abu-dhabi-grand-prix--preview/,4,2,3,4,3,4,3,3,23.0,20.5,C3,C4,C5,5.281,58,3,4,5
Sakhir,2023,Bahrain Grand Prix,https://press.pirelli.com/2023-bahrain-grand-prix---preview/,4,3,5,4,3,4,3,3,21.0,18.5,C1,C2,C3,5.412,57,1,2,3
Jeddah,2023,Saudi Arabian Grand Prix,https://press.pirelli.com/2023-saudi-arabia-grand-prix---preview/,2,3,2,4,3,2,3,2,22.5,21.0,C2,C3,C4,6.174,50,2,3,4
Melbourne,2023,Australian Grand Prix,https://press.pirelli.com/2023-australian-grand-prix---preview/,2,3,2,4,3,2,3,3,23.0,21.0,C2,C3,C4,5.278,58,2,3,4
Baku,2023,Azerbaijan Grand Prix,https://press.pirelli.com/2023-azerbaijan-grand-prix--preview-0/,5,1,1,5,3,4,1,1,25.0,23.0,C3,C4,C5,6.003,51,3,4,5
Miami,2023,Miami Grand Prix,https://press.pirelli.com/2023-miami-grand-prix---preview-0/,3,3,2,5,3,3,3,2,24.0,20.5,C2,C3,C4,5.412,57,2,3,4
Monaco,2023,Monaco Grand Prix,https://press.pirelli.com/2023-monaco-grand-prix--preview/,5,1,1,5,1,2,1,5,21.0,19.5,C3,C4,C5,3.337,78,3,4,5
Barcelona,2023,Spanish Grand Prix,https://press.pirelli.com/2023-spanish-grand-prix---preview-0/,3,3,4,3,5,3,5,4,23.0,20.0,C1,C2,C3,4.657,66,1,2,3
Montréal,2023,Canadian Grand Prix,https://press.pirelli.com/2023-canadian-grand-prix---preview-0/,5,1,2,5,3,5,1,1,22.0,20.5,C3,C4,C5,4.361,70,3,4,5
Spielberg,2023,Austrian Grand Prix,https://press.pirelli.com/no-rest-for-the-tyres-at-spielberg/,2,3,4,3,3,3,3,3,23.0,20.0,C3,C4,C5,4.318,71,3,4,5
Silverstone,2023,British Grand Prix,https://press.pirelli.com/an-important-debut-on-one-of-the-toughest-tracks-for-tyres/,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,1,2,3
Budapest,2023,Hungarian Grand Prix,https://press.pirelli.com/two-innovations-for-a-summer-classic/,4,3,2,4,3,3,3,5,22.0,19.0,C3,C4,C5,4.381,70,3,4,5
Spa-Francorchamps,2023,Belgian Grand Prix,https://press.pirelli.com/two-races-for-spa-this-year/,4,3,4,3,5,4,5,2,25.0,23.0,C2,C3,C4,7.004,44,2,3,4
Zandvoort,2023,Dutch Grand Prix,https://press.pirelli.com/formula-1-resumes-in-zandvoort-with-the-thrill-of-the-banking/,4,2,3,4,5,3,4,4,24.0,21.0,C1,C2,C3,4.259,72,1,2,3
Monza,2023,Italian Grand Prix,https://press.pirelli.com/speed-plays-a-starring-role-at-pirellis-home-race/,3,2,3,3,3,4,2,1,24.5,22.5,C3,C4,C5,5.793,53,3,4,5
Marina Bay,2023,Singapore Grand Prix,https://press.pirelli.com/a-new-challenge-for-the-singapore-night-race/,4,3,3,4,2,5,2,5,22.0,19.0,C3,C4,C5,4.94,62,3,4,5
Suzuka,2023,Japanese Grand Prix,https://press.pirelli.com/formula-1-heads-to-suzuka--with-an-eye-on-2024/,3,3,4,3,5,2,5,4,25.0,23.0,C1,C2,C3,5.807,53,1,2,3
Lusail,2023,Qatar Grand Prix,https://press.pirelli.com/another-new-beginning-in-qatar/,3,3,3,4,5,3,5,4,25.0,21.5,C1,C2,C3,5.419,57,1,2,3
Austin,2023,United States Grand Prix,https://press.pirelli.com/austin-the-start-of-an-american-journey/,4,3,4,4,4,3,4,4,23.0,20.0,C2,C3,C4,5.513,56,2,3,4
Mexico City,2023,Mexico City Grand Prix,https://press.pirelli.com/more-strategies-possible-in-mexico-thanks-to-the-tyre-choices/,3,1,2,3,2,3,2,5,23.5,20.5,C3,C4,C5,4.304,71,3,4,5
São Paulo,2023,São Paulo Grand Prix,https://press.pirelli.com/the-final-sprint-weekend-of-the-season-in-brazil/,3,3,4,4,3,3,3,4,23.0,21.0,C2,C3,C4,4.309,71,2,3,4
Las Vegas,2023,Las Vegas Grand Prix,https://press.pirelli.com/viva-las-vegas/,2,3,3,5,3,3,2,1,27.0,24.5,C3,C4,C5,6.201,50,3,4,5
Yas Island,2023,Abu Dhabi Grand Prix,https://press.pirelli.com/abu-dhabi-brings-the-season-to-a-close-with-a-test-as-well/,4,4,3,4,3,4,3,3,22.0,20.0,C3,C4,C5,5.281,58,3,4,5
Sakhir,2024,Bahrain Grand Prix,https://press.pirelli.com/longest-season-in-formula-1-history-starts-in-bahrain/,4,4,5,4,3,4,3,3,22.0,19.0,C1,C2,C3,5.412,57,1,2,3
