Location,EventName,Pirelli_Link,Traction_1_5,Asphalt_Grip_1_5,Asphalt_Abrasion_1_5,Track_Evolution_1_5,Tyre_Stress_1_5,Braking_1_5,Lateral_1_5,Downforce_1_5,Min_Pressure_Front_PSI,Min_Pressure_Rear_PSI,Compound_Hard,Compound_Medium,Compound_Soft,Circuit_Length_KM,Total_Laps
Melbourne,Australian Grand Prix,https://press.pirelli.com/under-starters-orders-in-melbourne-and-something-new-on-the-podium/,2,2,2,3,3,2,3,3,25.5,22.0,C3,C4,C5,5.278,58
Shanghai,Chinese Grand Prix,https://press.pirelli.com/a-chinese-weekend-that-presents-many-challenges-as-well-as-something-new/,3,3,3,5,4,4,4,3,26.5,23.0,C2,C3,C4,305.066,56
Suzuka,Japanese Grand Prix,https://press.pirelli.com/to-suzuka-for-something-new-and-something-old/,3,4,4,3,5,2,5,4,24.5,23.5,C1,C2,C3,5.807,53
Sakhir,Bahrain Grand Prix,https://press.pirelli.com/in-bahrain-with-prior-knowledge/,4,3,5,4,3,4,3,3,23.0,21.0,C1,C2,C3,5.412,57
Jeddah,Saudi Arabian Grand Prix,https://press.pirelli.com/a-softer-approach-for-jeddah/,2,4,2,4,3,3,4,2,25.5,21.5,C3,C4,C5,6.174,50
Miami Gardens,Miami Grand Prix,https://press.pirelli.com/a-sprint-n-soft-grand-prix-in-miami/,3,4,2,5,3,3,3,3,24.5,21.5,C3,C4,C5,5.412,57
Imola,Emilia Romagna Grand Prix,https://press.pirelli.com/the-c6-to-make-its-debut-in-imola/,"2",2,2,2,3,3,3,3,24.5,22.5,C4,C5,C6,4.909,63
Monaco,Monaco Grand Prix,https://press.pirelli.com/two-pit-stops-mandatory-in-monaco/,5,2,1,5,1,2,1,5,20.0,19.0,C4,C5,C6,3.337,78
Barcelona,Spanish Grand Prix,https://press.pirelli.com/the-hardest-tyres-are-back-for-spain/,3,3,4,3,5,3,5,4,26.0,22.0,C1,C2,C3,4.657,66
Montréal,Canadian Grand Prix,https://press.pirelli.com/formula-1-heads-for-montreal-with-its-overtaking-and-changeable-weather/,5,2,1,5,3,5,1,1,23.5,20.5,C4,C5,C6,4.361,70
Spielberg,Austrian Grand Prix,https://press.pirelli.com/a-hot-summer-of-formula-1-gets-underway-in-austria/,2,3,3,3,3,3,3,3,22.5,20.0,C3,C4,C5,4.318,71
Silverstone,British Grand Prix,https://press.pirelli.com/formula-1-goes-back-to-the-cradle/,3,4,2,2,5,2,5,4,26.5,23.5,C2,C3,C4,5.891,52
Spa-Francorchamps,Belgian Grand Prix,https://press.pirelli.com/sprint-with-a-jump-in-compounds-in-the-ardennes/,4,3,3,3,5,4,5,2,26.5,24.5,C1,C3,C4,7.004,44
Budapest,Hungarian Grand Prix,https://press.pirelli.com/hungary-hits-40-before-the-summer-break/,4,3,3,4,3,3,3,5,22.0,20.0,C3,C4,C5,4.381,70
Zandvoort,Dutch Grand Prix,https://press.pirelli.com/there-at-the-start-75-years-ago-pirelli-hits-the-500-grands-prix-mark/,3,3,3,4,5,3,4,4,25.0,22.5,C2,C3,C4,4.259,72
Monza,Italian Grand Prix,https://press.pirelli.com/art-history-and-speed-monza-gets-ever-more-special/,3,3,2,4,3,4,2,1,25.5,23.5,C3,C4,C5,5.793,53
Baku,Azerbaijan Grand Prix,https://press.pirelli.com/the-c6-is-back-for-baku/,5,2,1,5,3,4,1,2,27.0,26.0,C4,C5,C6,6.003,51
Marina Bay,Singapore Grand Prix,https://press.pirelli.com/managing-the-heat-under-the-lights-in-singapore/,4,3,3,5,2,5,2,5,22.0,20.0,C3,C4,C5,4.940,62
Austin,United States Grand Prix,https://press.pirelli.com/a-texas-rodeo-with-a-jump-in-compounds/,4,3,3,4,4,3,4,4,24.0,22.0,C1,C3,C4,5.513,56
Mexico City,Mexico City Grand Prix,https://press.pirelli.com/once-again-a-skip-in-compounds-for-the-mexico-city-weekend/,3,2,2,5,1,3,2,5,23.5,21.0,C2,C4,C5,4.304,71
São Paulo,São Paulo Grand Prix,https://press.pirelli.com/harder-compounds-for-the-sao-paulo-sprint-weekend/,3,3,2,5,3,3,3,4,25.0,23.0,C2,C3,C4,4.309,71
Las Vegas,Las Vegas Grand Prix,https://press.pirelli.com/roulette-in-las-vegas/,2,1,2,5,4,3,2,1,28.0,26.0,C3,C4,C5,6.201,50
Lusail,Qatar Grand Prix,https://press.pirelli.com/another-desert-this-time-in-doha/,3,4,2,4,5,3,5,4,28.0,23.5,C1,C2,C3,5.419,57
Yas Island,Abu Dhabi Grand Prix,https://press.pirelli.com/in-abu-dhabi-for-a-first-step-towards-the-f1-of-the-future/,4,3,3,4,3,4,3,3,23.5,21.5,C3,C4,C5,5.281,58
