2026-04-26 13:39:39,315 | 2022 Sakhir | fastf1.fastf1.core | WARNING | Driver 16 completed the race distance 00:00.050000 before the recorded end of the session.
2026-04-26 13:41:28,624 | 2022 Jeddah | fastf1.fastf1.core | WARNING | No lap data for driver 22
2026-04-26 13:41:28,626 | 2022 Jeddah | fastf1.fastf1.core | WARNING | No lap data for driver 47
2026-04-26 13:41:28,738 | 2022 Jeddah | fastf1.fastf1.core | WARNING | Failed to perform lap accuracy check - all laps marked as inaccurate (driver 22)
2026-04-26 13:41:28,739 | 2022 Jeddah | fastf1.fastf1.core | WARNING | Failed to perform lap accuracy check - all laps marked as inaccurate (driver 47)
2026-04-26 13:42:43,969 | 2022 Melbourne | fastf1.fastf1.core | WARNING | Driver 16 completed the race distance 00:00.140000 before the recorded end of the session.
2026-04-26 13:49:42,820 | 2022 Monaco | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '11'
2026-04-26 13:49:42,838 | 2022 Monaco | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '55'
2026-04-26 13:49:42,854 | 2022 Monaco | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '1'
2026-04-26 13:49:42,871 | 2022 Monaco | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '16'
2026-04-26 13:49:42,888 | 2022 Monaco | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '63'
2026-04-26 13:49:42,904 | 2022 Monaco | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '4'
2026-04-26 13:49:42,921 | 2022 Monaco | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '14'
2026-04-26 13:49:42,937 | 2022 Monaco | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '44'
2026-04-26 13:49:42,953 | 2022 Monaco | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '77'
2026-04-26 13:49:42,969 | 2022 Monaco | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '5'
2026-04-26 13:49:42,985 | 2022 Monaco | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '10'
2026-04-26 13:49:42,999 | 2022 Monaco | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '31'
2026-04-26 13:49:43,014 | 2022 Monaco | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '3'
2026-04-26 13:49:43,031 | 2022 Monaco | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '18'
2026-04-26 13:49:43,047 | 2022 Monaco | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '6'
2026-04-26 13:49:43,061 | 2022 Monaco | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '24'
2026-04-26 13:49:43,076 | 2022 Monaco | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '22'
2026-04-26 13:49:43,093 | 2022 Monaco | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '23'
2026-04-26 13:49:43,107 | 2022 Monaco | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '47'
2026-04-26 13:49:43,116 | 2022 Monaco | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '20'
2026-04-26 13:55:25,666 | 2022 Spielberg | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '16'
2026-04-26 13:55:25,679 | 2022 Spielberg | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '1'
2026-04-26 13:55:25,691 | 2022 Spielberg | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '44'
2026-04-26 13:55:25,701 | 2022 Spielberg | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '63'
2026-04-26 13:55:25,712 | 2022 Spielberg | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '31'
2026-04-26 13:55:25,722 | 2022 Spielberg | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '47'
2026-04-26 13:55:25,731 | 2022 Spielberg | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '4'
2026-04-26 13:55:25,740 | 2022 Spielberg | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '20'
2026-04-26 13:55:25,750 | 2022 Spielberg | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '3'
2026-04-26 13:55:25,760 | 2022 Spielberg | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '14'
2026-04-26 13:55:25,769 | 2022 Spielberg | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '77'
2026-04-26 13:55:25,778 | 2022 Spielberg | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '23'
2026-04-26 13:55:25,786 | 2022 Spielberg | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '18'
2026-04-26 13:55:25,796 | 2022 Spielberg | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '24'
2026-04-26 13:55:25,806 | 2022 Spielberg | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '10'
2026-04-26 13:55:25,816 | 2022 Spielberg | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '22'
2026-04-26 13:55:25,826 | 2022 Spielberg | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '5'
2026-04-26 13:55:25,835 | 2022 Spielberg | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '55'
2026-04-26 13:55:25,844 | 2022 Spielberg | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '6'
2026-04-26 13:55:25,852 | 2022 Spielberg | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '11'
2026-04-26 13:55:27,163 | 2022 Spielberg | fastf1.fastf1.core | WARNING | Driver 16 completed the race distance 00:00.024000 before the recorded end of the session.
2026-04-26 13:56:59,914 | 2022 Le Castellet | fastf1.fastf1.core | WARNING | Driver 1 completed the race distance 00:00.041000 before the recorded end of the session.
2026-04-26 14:00:30,986 | 2022 Spa-Francorchamps | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '10'
2026-04-26 14:00:31,023 | 2022 Spa-Francorchamps | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '22'
2026-04-26 14:15:09,223 | 2023 Jeddah | fastf1.fastf1.core | WARNING | Driver 11 completed the race distance 00:00.035000 before the recorded end of the session.
2026-04-26 14:23:42,125 | 2023 Barcelona | fastf1.fastf1.core | WARNING | Driver 1 completed the race distance 00:00.037000 before the recorded end of the session.
2026-04-26 14:26:06,777 | 2023 Montréal | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '22'
2026-04-26 14:35:21,733 | 2023 Zandvoort | fastf1.fastf1.core | WARNING | Driver 1 completed the race distance 00:02.059000 before the recorded end of the session.
2026-04-26 14:36:59,508 | 2023 Monza | fastf1.fastf1.core | WARNING | Driver 1 completed the race distance 06:25.888000 before the recorded end of the session.
2026-04-26 14:36:59,510 | 2023 Monza | fastf1.fastf1.core | WARNING | Driver 11 completed the race distance 06:19.824000 before the recorded end of the session.
2026-04-26 14:36:59,511 | 2023 Monza | fastf1.fastf1.core | WARNING | Driver 55 completed the race distance 06:14.695000 before the recorded end of the session.
2026-04-26 14:36:59,512 | 2023 Monza | fastf1.fastf1.core | WARNING | Driver 16 completed the race distance 06:14.511000 before the recorded end of the session.
2026-04-26 14:36:59,513 | 2023 Monza | fastf1.fastf1.core | WARNING | Driver 63 completed the race distance 06:07.860000 before the recorded end of the session.
2026-04-26 14:36:59,514 | 2023 Monza | fastf1.fastf1.core | WARNING | Driver 44 completed the race distance 05:48.209000 before the recorded end of the session.
2026-04-26 14:36:59,514 | 2023 Monza | fastf1.fastf1.core | WARNING | Driver 23 completed the race distance 05:40.782000 before the recorded end of the session.
2026-04-26 14:36:59,515 | 2023 Monza | fastf1.fastf1.core | WARNING | Driver 4 completed the race distance 05:40.439000 before the recorded end of the session.
2026-04-26 14:36:59,516 | 2023 Monza | fastf1.fastf1.core | WARNING | Driver 14 completed the race distance 05:39.594000 before the recorded end of the session.
2026-04-26 14:37:04,640 | 2023 Monza | telemetry | WARNING | Driver TSU lap 1.0: If mode is 'interp', window_length must be less than or equal to the size of x.
2026-04-26 14:38:25,293 | 2023 Marina Bay | fastf1.fastf1.core | WARNING | No lap data for driver 18
2026-04-26 14:38:25,465 | 2023 Marina Bay | fastf1.fastf1.core | WARNING | Failed to perform lap accuracy check - all laps marked as inaccurate (driver 18)
2026-04-26 14:40:03,687 | 2023 Suzuka | fastf1.fastf1.core | WARNING | Driver 1 completed the race distance 00:00.076000 before the recorded end of the session.
2026-04-26 14:41:34,731 | 2023 Lusail | fastf1.fastf1.core | WARNING | No lap data for driver 55
2026-04-26 14:41:34,855 | 2023 Lusail | fastf1.fastf1.core | WARNING | Failed to perform lap accuracy check - all laps marked as inaccurate (driver 55)
2026-04-26 14:47:25,988 | 2023 São Paulo | telemetry | WARNING | Driver LEC lap 1.0: If mode is 'interp', window_length must be less than or equal to the size of x.
2026-04-26 14:49:11,445 | 2023 Las Vegas | fastf1.fastf1.core | WARNING | Driver 1 completed the race distance 00:00.001000 before the recorded end of the session.
2026-04-26 14:59:22,220 | 2024 Shanghai | fastf1.fastf1.core | WARNING | Driver 1 completed the race distance 00:08.313000 before the recorded end of the session.
2026-04-26 15:07:53,080 | 2024 Barcelona | fastf1.fastf1.core | WARNING | Driver 1 completed the race distance 00:00.015000 before the recorded end of the session.
2026-04-26 15:12:56,586 | 2024 Silverstone | telemetry | WARNING | Driver GAS lap 1.0: If mode is 'interp', window_length must be less than or equal to the size of x.
2026-04-26 15:16:46,384 | 2024 Spa-Francorchamps | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '14'
2026-04-26 15:16:46,404 | 2024 Spa-Francorchamps | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '3'
2026-04-26 15:16:46,413 | 2024 Spa-Francorchamps | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '18'
2026-04-26 15:16:46,456 | 2024 Spa-Francorchamps | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '22'
2026-04-26 15:30:21,453 | 2024 São Paulo | fastf1.fastf1.core | WARNING | No lap data for driver 23
2026-04-26 15:30:21,607 | 2024 São Paulo | fastf1.fastf1.core | WARNING | Failed to perform lap accuracy check - all laps marked as inaccurate (driver 23)
2026-04-26 15:30:24,191 | 2024 Las Vegas | fastf1.fastf1.core | WARNING | Driver 63: Lap timing integrity check failed for 2 lap(s)
2026-04-26 15:30:24,196 | 2024 Las Vegas | fastf1.fastf1.core | WARNING | Driver 44: Lap timing integrity check failed for 1 lap(s)
2026-04-26 15:30:24,200 | 2024 Las Vegas | fastf1.fastf1.core | WARNING | Driver 55: Lap timing integrity check failed for 1 lap(s)
2026-04-26 15:30:24,205 | 2024 Las Vegas | fastf1.fastf1.core | WARNING | Driver 16: Lap timing integrity check failed for 2 lap(s)
2026-04-26 15:30:24,210 | 2024 Las Vegas | fastf1.fastf1.core | WARNING | Driver  1: Lap timing integrity check failed for 1 lap(s)
2026-04-26 15:30:24,214 | 2024 Las Vegas | fastf1.fastf1.core | WARNING | Driver  4: Lap timing integrity check failed for 1 lap(s)
2026-04-26 15:30:24,219 | 2024 Las Vegas | fastf1.fastf1.core | WARNING | Driver 81: Lap timing integrity check failed for 1 lap(s)
2026-04-26 15:30:24,261 | 2024 Las Vegas | fastf1.fastf1.core | WARNING | Driver 30: Lap timing integrity check failed for 2 lap(s)
