,LapNumber,Stint,TyreLife,Position,AirTemp,Humidity,Pressure,TrackTemp,WindDirection,WindSpeed,FuelLoad,Track_Evolution,Cumulative_Field_Dist_KM,Lap_Damage,LatOffset_Mean,Accumulated_Tyre_Wear,LatOffset_Std,Energy_Lap,Gap_To_Car_Ahead,Dirty_Air_Fraction,Aero_Loss,DRS_Fraction,Traction_1_5,Asphalt_Grip_1_5,Asphalt_Abrasion_1_5,Track_Evolution_1_5,Tyre_Stress_1_5,Braking_1_5,Lateral_1_5,Downforce_1_5,Min_Pressure_Front_PSI,Min_Pressure_Rear_PSI,Circuit_Length_KM,Compound_Int,Wear_Severity_Index,Track_Flow_Type,Grip_Aero_Balance,Total_Min_Pressure,Pressure_Delta,Prev_LapTime,Lag_2,Rolling_Avg_3,Prev_Delta,Driver_Encoded,Location_Encoded,Team_Encoded,Mean_Apex_Speed_Ratio,Std_Apex_Speed_Ratio,Mean_Brake_Fraction,Std_Brake_Fraction,Mean_Brake_Point_Norm,Std_Brake_Point_Norm,Mean_Throttle_On_Dist_Norm,Std_Throttle_On_Dist_Norm,Mean_Throttle_Integral_Norm,Std_Throttle_Integral_Norm,Mean_Speed_Variability,Std_Speed_Variability,P_0,P_1,P_2,Style_Cluster_ID,Style_Entropy,Year,Tyre_Compound_Interaction
LapNumber,1.0,0.6818989755162567,0.5029575891208143,-0.024445371548658577,-0.03946523600679276,0.01335424668230027,-0.08158604447529554,-0.053530080591376594,-0.021801120087798546,-0.04734078661202977,-0.951643792676841,0.09783340617138069,0.10693978841401085,-0.14920583712462948,0.013805811300323292,0.21959608559201338,0.012664138239030377,-0.0815986026541626,0.2688122669206405,-0.25192065758188015,-0.25519161752574426,-0.15392300611005813,0.0423543128132938,-0.07925696044658934,-0.032150955671117636,0.06031891693362264,-0.11013016110053675,-0.014573686448844743,-0.07586456729374982,0.129291209246201,-0.14112359390414897,-0.12912441427610508,9.90863516043138e-05,-0.04207274748620222,-0.07072531471745792,-0.0725736156343697,-0.13757559663333588,-0.13905300659072029,-0.037237353051376335,-0.22720485016301545,-0.2292628695799858,-0.2345131899001621,0.04091128364405647,-1.268542861756428e-05,0.014884002109426775,0.001684971852555117,-0.09020452875032461,0.03566520303048988,0.030382365953503892,-0.07925792182801618,-0.011606304842570964,0.009590063589447239,-0.018619041728641202,-0.013885476927428019,-0.024755418309481456,-0.02125352538435061,0.10731938469879222,0.009910678839749271,0.04755115614740904,-0.011448091927959387,-0.041444567869414056,-0.04258011904229972,0.004088215407718196,0.027057268559442713,0.4117574045554662
Stint,0.6818989755162567,1.0,-0.013846294959314111,0.12175191293964137,-0.08770207374195034,0.024866646519060634,-0.011374437390295141,-0.06427909162809543,-0.09060185594555277,-0.09378105181108502,-0.6776845109652146,0.08376433164076953,0.09312931941074905,0.07343029639665981,0.014451537875074276,0.0409558560416859,0.012757006213945384,0.03922710487840138,0.1463568162887422,-0.1369762652113772,-0.13669310764270134,-0.07806859486394517,-0.0790105874377081,0.0728355684251122,0.20322550574415255,-0.09944331457895846,0.08411483760573892,-0.07976331563909593,0.1218941769715281,0.06061774634326146,-0.06916964866822668,-0.08300388707780595,0.020514205647134808,-0.1474536458406391,0.17408773084907286,0.12632427733081836,-0.07658562477343488,-0.07808851451628124,0.023157443143534552,-0.15165544352412466,-0.15325179211362067,-0.15557570159568196,0.03132156023979753,0.019471681705339552,0.10503200044711541,-0.018295646430598448,0.0914977404670937,-0.02384512202080986,-0.10799405633912676,-0.017568269408381666,-0.06371528529601175,0.01953224819356669,-0.03582394682223192,-0.019317072456874935,0.07391728275966163,-0.026122876360489718,-0.07137891664941473,-0.010813666625036135,0.06225363828977438,-0.04034223957137835,-0.02681930336522117,-0.03956732698640458,-0.08350734168987459,-0.09452114198942697,-0.068162813249274
TyreLife,0.5029575891208143,-0.013846294959314111,1.0,-0.08820625191744379,-0.06548418024646076,0.03308987074266466,-0.012014737082122978,-0.005660035257944263,-0.006340483184620054,-0.056306146233541694,-0.46264649804698843,0.0797186970592218,0.08121523247606759,-0.28664540777378267,0.007948306481505914,0.3941647786235611,0.008398482447352687,-0.10758013124882865,0.19762445288839386,-0.18043160369744388,-0.18854515641923178,-0.14521026477913068,0.11362983233640803,-0.19697181999950547,-0.2616154849752805,0.1810739747945182,-0.2329325600102927,-0.07517238768384167,-0.21389072162657644,0.08273936377903633,-0.1320047134696538,-0.07610142838584913,0.011010279547585745,-0.011572409533627464,-0.26118221415136683,-0.16899508899373802,-0.1042157655001814,-0.10755595461421016,-0.12867237222353886,-0.12118752216919167,-0.12236282207682844,-0.12699861789651867,0.023220111199071188,-0.014540054119021824,-0.04915023654253127,0.0014758975250138019,-0.1170657411165498,0.07585219822008281,0.067651438382084,-0.08170493794098407,0.03899009027095295,0.033472888078305285,0.029298258064582756,0.01945529919284224,-0.09259569073232952,0.023091990464121442,0.1446502508544124,0.03608522162779725,-0.00863359227443076,0.003557242959227339,0.005924569065881644,0.004740601996411087,0.045477959272843434,0.07166624952674473,0.8507147865881797
Position,-0.024445371548658577,0.12175191293964137,-0.08820625191744379,1.0,0.010209475579199686,-0.003850007548488335,0.014225594128818592,-0.012493057637808891,0.0040561739036885465,0.007519814310239583,0.020768284457918063,-0.005246156773790126,-0.005054465777380819,0.0005852980735968275,-0.01702079419054759,-0.078163760156233,-0.014395514120096226,-0.04346393663226086,-0.30954234997843905,0.26049220988069244,0.2795009360857754,0.17533337513608896,0.0154119978332968,0.011390816384934568,0.00822584904530981,-0.00508759438699993,0.0021427569655901786,0.02423933325693817,-0.004507052552204071,-0.006570503536462297,-0.0028139935655884718,-0.002985006004486497,-0.006837955208889767,-0.029715081860625433,0.003836603348832697,-0.015319778243439846,0.008780239979173213,-0.002979425421081079,0.00011919935531337626,0.051035735057673295,0.05087822254363864,0.05185080521802378,0.0019837975526463213,-0.16585894378709853,-0.004756786063777906,-0.15730484809248338,-0.022854435932169414,-0.008700120018244504,0.07003852357965122,0.043696097222825844,-0.011083448243965953,-0.0044637291483284255,0.04145910543215983,0.02710580437354742,-0.08830486421106973,0.03196876216275611,0.03431404247458316,0.01598627752499375,-0.0708274955448927,-0.00490757318033716,0.0854971962976023,0.0819230054596364,0.010588683146646325,0.012557645523267477,-0.08570722899589196
AirTemp,-0.03946523600679276,-0.08770207374195034,-0.06548418024646076,0.010209475579199686,1.0,-0.3845288515953262,0.06132307751362088,0.6511050521118531,-0.05770210562547825,0.037942154951984615,0.020633758626828747,-0.03793161298845472,-0.037477692395674465,-0.10051536213959693,0.0018910436606837905,-0.11265837274911865,-0.0014132895687490054,-0.13308005130521536,0.04162931453028275,-0.04424293787848754,-0.05127157423597653,-0.01190090763076431,0.04263767303769645,0.10294336625034253,0.012053726672574826,-0.03208273924615194,-0.20167694874764705,0.19084638637780021,-0.07603366097000719,0.034073153075897165,-0.24695068202241247,-0.3598214735219059,-0.041450114998378855,0.1448042689314588,-0.11827509303494049,-0.1339561131894441,0.15169350287411573,-0.31077746502537285,0.2160045100201313,0.1284743165878431,0.12765536040660705,0.12687106532349463,0.01260958743655176,0.005182656707245327,-0.27989847060052414,-0.02431829479322683,-0.20513951446484469,0.04915683072484439,0.17588578670419272,-0.15961885512446994,0.012219843653581627,-0.02625202340536967,0.057393515868912476,-0.011246635274551052,-0.13873391051798847,-0.10695650296723765,0.054705856454095037,-0.14004511068728906,-0.0395407909191337,-0.05822140836101887,0.10777490813404102,0.05721525583581101,0.11234266361024368,-0.10412365352429143,0.00953706001352882
Humidity,0.01335424668230027,0.024866646519060634,0.03308987074266466,-0.003850007548488335,-0.3845288515953262,1.0,0.28774903830716814,-0.4807251186691934,-0.017606995878632466,-0.07093393434844952,-0.013942996704979567,-0.08907767416081949,-0.08974026213937912,0.1433879030009908,-0.00765087853359009,0.15220195442564843,-0.014438914254477938,0.3349270909725869,-0.04518909996846666,0.04877889885379026,0.04841393764746836,-0.021302419981712045,0.03747502212066641,0.22789448591994882,0.03492277331321276,0.04914538971603613,0.15586156071262117,-0.03427315834364425,0.20351275158679524,0.14219880641458918,0.04933055665297908,0.08799041064525974,-0.09506155098988388,-0.13996855450836318,0.10414873517065623,0.18142955191982404,-0.1043238339038073,0.07019909391463418,-0.0769910988048738,0.04710846840231787,0.04868959968929913,0.048546523645426755,-0.029294129018418137,-0.0002645585606536259,0.16904098557310118,0.019005769543925015,0.3165918841120032,-0.252741770688511,-0.2060572091411262,0.015050624284146056,0.07744112508922729,0.15027227069345017,0.0076811490410552815,0.08425284045641028,0.14217143433109927,0.2400058388196965,-0.27101248674845835,-0.148945638316909,-0.02423460748142616,0.05430132958148397,-0.03133031769244773,-0.0006915041999647494,-0.109025680159553,0.038689768933289216,-0.042234928399454384
Pressure,-0.08158604447529554,-0.011374437390295141,-0.012014737082122978,0.014225594128818592,0.06132307751362088,0.28774903830716814,1.0,-0.17287711018617913,-0.16547095899456812,0.023410872734291648,-0.009977397984680031,0.06498730720747295,0.06554936611423687,0.17562697336967079,0.008370882579660257,0.14888109603080774,0.012178948255581057,0.4278882304018989,-0.027302601422040003,0.031533360271198525,0.03160243318395773,-0.020198253384084763,0.27291773586396034,0.23436446576455539,0.052696722956497744,-0.01233488853530049,0.31202442328709146,0.12164318771679901,0.1648626559221553,-0.29405597420922824,0.006034052179891379,0.02890908197339468,0.07630421902810502,-0.24739109665422065,0.2010996438626888,0.10481934187265714,0.23168968328246115,0.017729722418036185,-0.04753030009190825,0.2326474111553294,0.23339329384709792,0.2326135126734825,-0.017347715816809033,-0.013923666662358036,-0.028313796751209364,0.017658547233686605,0.1305186118565415,0.07553914752808893,-0.047731161214736195,0.1844053016085657,-0.0164340905596806,-0.005489573595178864,0.026105946619915506,0.17680857809834627,0.2342893482144464,0.18295979443048024,-0.20545682570856316,0.06278678331851481,-0.0049868638659438785,0.03573715010086575,-0.03303039146870387,-0.010951469371313777,-0.11118179367657725,0.06222479178955207,-0.12933228936358374
TrackTemp,-0.053530080591376594,-0.06427909162809543,-0.005660035257944263,-0.012493057637808891,0.6511050521118531,-0.4807251186691934,-0.17287711018617913,1.0,-0.048875143187879756,0.024748162707496378,0.13123968192596114,-0.09726536504383797,-0.09839866808352465,-0.19115172244412992,-0.010748327842594118,-0.20505632872471433,-0.011418099711887146,-0.3724450389440123,0.0009967307350137742,-0.003300345678500554,-0.0036325796200356517,0.012707951797618203,0.17009812880833267,-0.16019349032811123,-0.20139313917031348,-0.023750885898875116,-0.28278449917717285,0.008181317258405343,-0.22359609884131737,0.09384226146840331,-0.2670391507007689,-0.30253127706578425,-0.09632027689549079,0.30522789705915093,-0.23805173537620272,-0.22890657777205647,0.01516709841215894,-0.29244416769679976,0.05177134201859141,-0.19363611989894006,-0.1941699153897301,-0.19340127286763042,0.01287010586782864,0.01658258563906983,-0.1621602592083472,-0.007969834111974288,-0.2540258391722271,0.0396730734518574,0.17185095663682554,-0.1513825304428355,-0.13138012924519657,-0.15656365042091486,0.03399127871989911,-0.020521156539767157,-0.1416259685828591,-0.0834437873666462,0.21303963290515676,-0.09596961597325418,0.007570009039635406,0.015013191549224831,-0.02481812168599654,-0.017107655191927907,-0.014536335556644303,-0.056908032629911315,0.1444459491079344
WindDirection,-0.021801120087798546,-0.09060185594555277,-0.006340483184620054,0.0040561739036885465,-0.05770210562547825,-0.017606995878632466,-0.16547095899456812,-0.048875143187879756,1.0,0.043136554822994756,0.022625172391934196,0.02231066675474437,0.02081594183344268,-0.04782619220151305,-0.016681654583730235,-0.028147585082464996,-0.015983711437819806,0.01028207960027379,-0.021500443706462757,0.018468919974849334,0.01850044531342761,0.0015049340487257826,0.041699943254624235,-0.11760122908279992,-0.15040159037030867,0.0780988878702046,-0.06795217680287807,0.04301752213279953,-0.0902128572099144,0.020674596067943286,0.0028235650389135595,0.07891535292640574,0.027574434451449577,0.12516387264235976,-0.13714172895222626,-0.09728083664990944,-0.03364188646932111,0.0412423323096338,-0.15957634098021564,0.0321939257002513,0.03282930823446427,0.03360532349758396,-0.011994341933269228,-0.0049147993678848,0.052013442269484386,0.01418965239856684,-0.028907228941865374,0.021653746135579036,-0.016807771174432298,-0.003994989865533135,-0.04411076774796752,0.010123046102671342,-0.003541980492528257,-0.007438373375864717,-0.07587730372919081,0.046651537910673405,0.06786294840988587,-0.02237967024816493,0.04694287138679372,-0.027303668741228106,-0.023596368980671956,-0.037499270246826616,0.07023489296509955,0.04321216608860398,0.04578980633636214
WindSpeed,-0.04734078661202977,-0.09378105181108502,-0.056306146233541694,0.007519814310239583,0.037942154951984615,-0.07093393434844952,0.023410872734291648,0.024748162707496378,0.043136554822994756,1.0,0.04841232276065326,0.014872985904126973,0.014911489230454458,0.15046125742752434,-0.001665431142469912,0.11322384797961635,-0.001782141400315798,0.06360263238202123,-0.024017917884824082,0.019716721306861716,0.02455727701566897,0.031400970888294306,-0.09033526045487363,-0.03872100218331436,0.02760304024422171,-0.05143315859705963,0.2491728334245772,-0.05850847720630905,0.14668854999196265,-0.11361210379950265,0.1958058550047201,0.12466302308062367,0.029700599294982144,-0.08798876360262918,0.1608737432551055,0.13600840977761078,0.015444491783870506,0.1654757650437181,0.16612136074802744,0.004360194209013083,0.004659164912413174,0.005728350165222438,-0.005462873681851448,0.015784148678399758,-0.04112562955894851,-0.0072547329225327185,-0.017407891886879464,0.014454813154903927,0.06954193618364059,0.12933447377207558,-0.0128038097671252,-0.0147376866779826,0.07104036397975459,0.03912952637197306,-0.12675062294557266,0.14993868404609365,0.006166003402775877,0.03309268885922939,0.00441199976819339,0.016298329969304737,-0.022633668878017724,-0.02109908067886573,0.03237039458561295,-0.07108786080098874,-0.11764303077594165
