Feature_A,Feature_B,abs_r,r
Track_Evolution_Physics,Cumulative_Field_Dist_KM,0.9997764172530854,0.9997764172530854
Lag_2,Rolling_Avg_3,0.9986831492032587,0.9986831492032587
Prev_LapTime,Lag_2,0.998464442564197,0.998464442564197
Prev_LapTime,Rolling_Avg_3,0.9982042164021587,0.9982042164021587
LatOffset_Mean,LatOffset_Std,0.9810868282485932,0.9810868282485932
Min_Pressure_Front_PSI,Total_Min_Pressure,0.9736166996057238,0.9736166996057238
Min_Pressure_Rear_PSI,Total_Min_Pressure,0.9714219029700474,0.9714219029700474
LapNumber,FuelLoad,0.9516043838245297,-0.9516043838245297
Dirty_Air_Fraction,Aero_Loss,0.9445424065200821,0.9445424065200821
Gap_To_Car_Ahead,Dirty_Air_Fraction,0.9380225633120856,-0.9380225633120856
Gap_To_Car_Ahead,Aero_Loss,0.9380127100199348,-0.9380127100199348
Lateral_1_5,Track_Flow_Type,0.9287672918677631,0.9287672918677631
Track_Evolution_Physics,Circuit_Length_KM,0.9039293590380058,0.9039293590380058
Circuit_Length_KM,Cumulative_Field_Dist_KM,0.9031397679728648,0.9031397679728648
Min_Pressure_Front_PSI,Min_Pressure_Rear_PSI,0.8916296248263907,0.8916296248263907
TyreLife,Tyre_Compound_Interaction,0.8507347551158202,0.8507347551158202
Asphalt_Abrasion_1_5,Wear_Severity_Index,0.8443833077031262,0.8443833077031262
P_0,Style_Cluster_ID,0.8334589206476394,-0.8334589206476394
Std_Throttle_On_Dist_Norm,Std_Throttle_Integral_Norm,0.830235060956594,0.830235060956594
Lateral_1_5,Wear_Severity_Index,0.8199157266927082,0.8199157266927082
Tyre_Stress_1_5,Wear_Severity_Index,0.813229817705484,0.813229817705484
Tyre_Stress_1_5,Lateral_1_5,0.8004089329823669,0.8004089329823669
P_2,Style_Cluster_ID,0.7863066677988527,0.7863066677988527
