Feature,Importance
E_lap,0.08009992
Asphalt_Abrasion_1_5,0.057970483
Min_Pressure_Rear_PSI,0.05621384
Prev_Delta,0.050170656
Downforce_1_5,0.027866298
Tyre_Compound_Interaction,0.025971385
Gap_To_Car_Ahead,0.024968522
Dirty_Air_Fraction,0.0247498
DRS_Fraction,0.024026066
Aero_Loss,0.021639952
Mean_Brake_Fraction,0.020218756
Humidity,0.01805203
Mean_Throttle_Integral_Norm,0.01769559
Wear_Severity_Index,0.016838083
Traction_1_5,0.016752489
Cumulative_Field_Dist_KM,0.016458463
Braking_1_5,0.016168164
Location_Encoded,0.016081372
Mean_Speed_CV,0.016044449
Track_Flow_Type,0.015968038
Rolling_Avg_3,0.01501172
LapNumber,0.014755915
TyreLife,0.014560921
Tyre_Stress_1_5,0.014492326
FuelLoad,0.013867801
Track_Evolution_Physics,0.013681752
Pressure,0.013591705
Prev_LapTime,0.013587618
Position,0.013383046
Stint_Progress,0.01336507
Tyre_Grip_Index,0.012936209
Lap_Damage,0.012143289
Lag_2,0.012048981
Mean_Brake_Point_Norm,0.011569174
Std_Brake_Point_Norm,0.011477306
Stint,0.011396028
Std_Speed_CV,0.010976081
Total_Min_Pressure,0.010499026
Circuit_Length_KM,0.010410099
Track_Evolution_1_5,0.010292556
Asphalt_Grip_1_5,0.010110917
Pressure_Delta,0.010076284
Style_Entropy,0.009579503
Accumulated_Tyre_Wear,0.0093379365
P_2,0.009252694
AirTemp,0.00882797
TrackTemp,0.008542248
Std_Apex_Speed_Ratio,0.008521916
Min_Pressure_Front_PSI,0.008431048
Std_Brake_Fraction,0.008423849
LatOffset_Std,0.008168825
P_0,0.00798229
Compound_Int,0.007730599
Mean_Apex_Speed_Ratio,0.007107891
WindDirection,0.0069613676
P_1,0.0069577117
WindSpeed,0.00685614
Std_Throttle_Integral_Norm,0.0065288716
Mean_Throttle_On_Dist_Norm,0.006508013
Team_Encoded,0.0060292534
Std_Throttle_On_Dist_Norm,0.0059319506
LatOffset_Mean,0.0058594444
Driver_Encoded,0.004788818
Grip_Aero_Balance,0.0034834698
Lateral_1_5,0.0
