Driver,MAE,Laps
VER,0.23254970702802896,2829
RUS,0.2811976282792062,2822
NOR,0.2824069576591091,2804
ANT,0.29210687803323765,712
LEC,0.29408760312961557,2704
SAI,0.30534753388937913,2698
PIA,0.3084493112440837,2294
PER,0.3093449388067925,1756
LAW,0.31947035411775254,1089
ALO,0.3209414527693087,2702
DEV,0.32765712014262094,363
HAM,0.32814942371331335,2713
OCO,0.3290533715599592,2676
BEA,0.3371360861563535,859
ALB,0.33793067197324783,2335
VET,0.34433591083759507,413
HAD,0.34532688136408735,814
BOR,0.3509139665785893,758
STR,0.3554654719135576,2558
TSU,0.356775318537024,2530
GAS,0.3629869687955467,2515
HUL,0.3892153541036767,2135
ZHO,0.3945822142693151,1801
MAG,0.40271582421662244,1735
COL,0.40660706643770655,895
BOT,0.41752920742820243,1867
RIC,0.43098941936407204,1248
DOO,0.4313651462803088,171
SAR,0.44178392489703644,1051
MSC,0.4689394947230056,383
LAT,0.5034344077747932,387
