Feature,Importance
Prev_Delta,49.26920071989851
TrackTemp,9.78269175901376
Position,3.7379795098872366
LapNumber,3.602285273198614
Circuit_Length_KM,2.3427049841111964
Grip_Aero_Balance,2.310400575198399
Wear_Severity_Index,2.2841986067524864
FuelLoad,2.0060021167815782
Tyre_Stress_1_5,1.7031016771354004
Cumulative_Field_Dist_KM,1.3685660123570227
Track_Evolution_Physics,1.2928092038533874
Min_Pressure_Front_PSI,1.2239991761308906
Asphalt_Abrasion_1_5,1.151927420731692
Min_Pressure_Rear_PSI,0.9970412631799034
Humidity,0.9671583537051909
Traction_1_5,0.7874339033266711
Total_Min_Pressure,0.7768520597267751
Prev_LapTime,0.7310140989017188
Lap_Damage,0.7233714602043086
Braking_1_5,0.702583940911495
Track_Flow_Type,0.6654296774020813
AirTemp,0.6522565947146038
Asphalt_Grip_1_5,0.6205631109253827
Lag_2,0.6138710342602176
Year,0.6104925193225282
Lateral_1_5,0.604601586546489
Pressure_Delta,0.4738441551267996
Downforce_1_5,0.4701250025724152
Std_Brake_Point_Norm,0.4574285850041293
Gap_To_Car_Ahead,0.44262926635425337
Pressure,0.43555734936716
Aero_Loss,0.39232858178577207
Dirty_Air_Fraction,0.33752021027586915
Rolling_Avg_3,0.3359541383212012
Mean_Brake_Fraction,0.3295594710780564
Accumulated_Tyre_Wear,0.31644678064278825
Std_Throttle_Integral_Norm,0.3062959444881302
Std_Brake_Fraction,0.3041902361417167
WindSpeed,0.2929341780505232
Mean_Speed_CV,0.26770826036641654
Stint,0.26478355102247514
Tyre_Grip_Index,0.2540799438238887
Std_Speed_CV,0.22033619508549473
LatOffset_Std,0.20620658305533512
Std_Throttle_On_Dist_Norm,0.1848973409730282
Location_Encoded,0.18473780988906266
E_lap,0.18129344015437848
TyreLife,0.17571274567114417
Mean_Apex_Speed_Ratio,0.1721303226289689
WindDirection,0.16171435814847646
P_2,0.14199249910677947
Compound_Int,0.14167482914187743
Track_Evolution_1_5,0.12839152913191748
Mean_Brake_Point_Norm,0.12119944630892857
LatOffset_Mean,0.10677620180017489
Std_Apex_Speed_Ratio,0.10515783591430507
Team_Encoded,0.10308183581128921
Style_Entropy,0.0945396991369468
Driver_Encoded,0.09054870850093842
Mean_Throttle_On_Dist_Norm,0.0765705327171163
Mean_Throttle_Integral_Norm,0.07226154256956796
Tyre_Compound_Interaction,0.0617014007886507
DRS_Fraction,0.04885103360992121
P_0,0.010301817256576622
P_1,0.0
Style_Cluster_ID,0.0
