Feature,Importance
Prev_Delta,55.00069600366214
TrackTemp,9.210167998130824
LapNumber,3.6724377131896975
Position,2.4286182731458954
Grip_Aero_Balance,2.3375978502294523
Min_Pressure_Front_PSI,2.101656893312149
Circuit_Length_KM,2.0281768241680194
FuelLoad,1.9233408786423474
Tyre_Stress_1_5,1.6112293961605073
Humidity,1.4200307693099443
Lap_Damage,1.3932814328998724
Asphalt_Grip_1_5,1.3303111408692887
Wear_Severity_Index,1.1923755823579454
Pressure,1.0041489928556464
Pressure_Delta,0.9545687192567305
Min_Pressure_Rear_PSI,0.8898022049082118
Track_Evolution,0.8697848780908093
Cumulative_Field_Dist_KM,0.8083885344368571
Total_Min_Pressure,0.7393959205312532
Braking_1_5,0.7235760683887962
AirTemp,0.6956274184839429
Downforce_1_5,0.6759922154519851
Asphalt_Abrasion_1_5,0.5635236579010058
TyreLife,0.5051272888156361
Year,0.4973294424143973
Aero_Loss,0.461109931500061
Prev_LapTime,0.45049342141745835
Track_Flow_Type,0.3380406859631401
Mean_Brake_Point_Norm,0.2970992541420404
Std_Throttle_Integral_Norm,0.26927251705156013
Accumulated_Tyre_Wear,0.25296059287995387
Traction_1_5,0.2436601113883984
Lag_2,0.2192229988289231
Rolling_Avg_3,0.20781988349141597
Stint,0.18507440062349886
Std_Brake_Fraction,0.18120021288719473
Track_Evolution_1_5,0.17251164444334377
Style_Entropy_k2,0.16446392525483464
Location_Encoded,0.15758230393288078
P_1_k2,0.13519359712669932
Dirty_Air_Fraction,0.1342903084718086
Gap_To_Car_Ahead,0.13325908692965935
Energy_Lap,0.13136493443615468
Mean_Throttle_On_Dist_Norm,0.11564164657488271
Std_Speed_Variability,0.1084948599967444
Lateral_1_5,0.1084635030009379
P_0_k2,0.10634797216829
WindDirection,0.10501600374058054
Team_Encoded,0.10055251647449218
Mean_Brake_Fraction,0.09864222320904778
Mean_Speed_Variability,0.09042548954063163
Tyre_Compound_Interaction,0.070916051066008
Std_Throttle_On_Dist_Norm,0.06871878839183507
Std_Brake_Point_Norm,0.06682514435787594
Mean_Apex_Speed_Ratio,0.060134681790805236
LatOffset_Std,0.05457656209342964
Mean_Throttle_Integral_Norm,0.05119657704294096
Std_Apex_Speed_Ratio,0.04410478605498227
Compound_Int,0.02274459089349423
DRS_Fraction,0.015392695220621788
Driver_Encoded,0.0
LatOffset_Mean,0.0
WindSpeed,0.0
Style_Cluster_ID_k2,0.0
