Year,RoundNumber,Location,Location_Encoded,Driver,LapNumber,Stint,Compound,Actual,Predicted,Error
2022,6,Barcelona,2,ALB,5.0,1.0,SOFT,90.495,90.30133149760465,0.19366850239535038
2022,6,Barcelona,2,ALB,6.0,1.0,SOFT,91.25,90.52980761094217,0.7201923890578279
2022,6,Barcelona,2,ALB,20.0,2.0,MEDIUM,91.912,91.41831817047087,0.493681829529134
2022,6,Barcelona,2,ALB,21.0,2.0,MEDIUM,92.144,91.90338710452885,0.24061289547115194
2022,6,Barcelona,2,ALB,22.0,2.0,MEDIUM,92.098,92.18110494576601,0.08310494576601085
2022,6,Barcelona,2,ALB,23.0,2.0,MEDIUM,91.525,92.16325965610145,0.638259656101442
2022,6,Barcelona,2,ALB,24.0,2.0,MEDIUM,91.595,91.56753943483494,0.027460565165051125
2022,6,Barcelona,2,ALB,31.0,3.0,SOFT,90.928,90.01804766937843,0.9099523306215577
2022,6,Barcelona,2,ALB,32.0,3.0,SOFT,90.177,90.65849697362948,0.48149697362947186
2022,6,Barcelona,2,ALB,33.0,3.0,SOFT,91.53,90.23723879198168,1.2927612080183226
2022,6,Barcelona,2,ALB,34.0,3.0,SOFT,90.018,91.14103027350721,1.1230302735072077
2022,6,Barcelona,2,ALB,35.0,3.0,SOFT,89.893,90.08859088821518,0.1955908882151767
2022,6,Barcelona,2,ALB,43.0,3.0,SOFT,91.617,91.39132904023583,0.2256709597641705
2022,6,Barcelona,2,ALB,44.0,3.0,SOFT,90.755,91.65636465268074,0.9013646526807395
2022,6,Barcelona,2,ALB,51.0,4.0,MEDIUM,89.287,89.57113589622469,0.2841358962246763
2022,6,Barcelona,2,ALB,52.0,4.0,MEDIUM,90.629,89.34817785093371,1.28082214906629
2022,6,Barcelona,2,ALB,53.0,4.0,MEDIUM,89.561,90.18530958045784,0.6243095804578261
2022,6,Barcelona,2,ALB,60.0,5.0,SOFT,90.057,88.77001448131698,1.2869855186830248
2022,6,Barcelona,2,ALB,61.0,5.0,SOFT,89.229,89.65290915664006,0.42390915664005835
2022,6,Barcelona,2,ALO,5.0,1.0,SOFT,89.174,89.68942082578938,0.5154208257893791
2022,6,Barcelona,2,ALO,6.0,1.0,SOFT,90.389,89.24164451238208,1.1473554876179168
2022,6,Barcelona,2,ALO,16.0,2.0,MEDIUM,89.74,89.5418737354159,0.1981262645840865
2022,6,Barcelona,2,ALO,17.0,2.0,MEDIUM,89.62,89.76239039835123,0.14239039835122677
2022,6,Barcelona,2,ALO,18.0,2.0,MEDIUM,89.783,89.66312453073616,0.11987546926384815
2022,6,Barcelona,2,ALO,19.0,2.0,MEDIUM,89.681,89.80350345092239,0.12250345092239345
2022,6,Barcelona,2,ALO,20.0,2.0,MEDIUM,89.82,89.7267803460944,0.09321965390558543
2022,6,Barcelona,2,ALO,21.0,2.0,MEDIUM,89.888,89.86076383163734,0.027236168362659775
2022,6,Barcelona,2,ALO,22.0,2.0,MEDIUM,89.737,89.92348048111386,0.18648048111386673
2022,6,Barcelona,2,ALO,23.0,2.0,MEDIUM,89.763,89.78562985699337,0.022629856993364065
2022,6,Barcelona,2,ALO,24.0,2.0,MEDIUM,89.738,89.79810801449989,0.060108014499886404
2022,6,Barcelona,2,ALO,30.0,2.0,MEDIUM,89.996,89.75024780667891,0.24575219332107437
2022,6,Barcelona,2,ALO,37.0,3.0,SOFT,88.053,88.42702042306487,0.3740204230648747
2022,6,Barcelona,2,ALO,38.0,3.0,SOFT,88.089,88.09570309903094,0.006703099030939977
2022,6,Barcelona,2,ALO,39.0,3.0,SOFT,88.234,88.14775117569133,0.08624882430867312
2022,6,Barcelona,2,ALO,40.0,3.0,SOFT,88.445,88.26777281979416,0.17722718020583575
2022,6,Barcelona,2,ALO,41.0,3.0,SOFT,88.339,88.4787856743852,0.13978567438518755
2022,6,Barcelona,2,ALO,42.0,3.0,SOFT,88.995,88.38767387713332,0.607326122866687
2022,6,Barcelona,2,ALO,43.0,3.0,SOFT,87.271,88.94907531961148,1.6780753196114775
2022,6,Barcelona,2,ALO,44.0,3.0,SOFT,87.764,87.3205052600963,0.44349473990369565
2022,6,Barcelona,2,ALO,45.0,3.0,SOFT,87.693,87.75227961253107,0.059279612531077705
2022,6,Barcelona,2,ALO,46.0,3.0,SOFT,87.715,87.7382044586896,0.023204458689588266
2022,6,Barcelona,2,ALO,47.0,3.0,SOFT,87.855,87.76267479689946,0.09232520310054795
2022,6,Barcelona,2,ALO,48.0,3.0,SOFT,87.849,87.89302957221464,0.0440295722146432
2022,6,Barcelona,2,ALO,49.0,3.0,SOFT,88.119,87.89602315313803,0.2229768468619666
2022,6,Barcelona,2,ALO,50.0,3.0,SOFT,88.296,88.13236150192792,0.1636384980720894
2022,6,Barcelona,2,ALO,51.0,3.0,SOFT,88.039,88.32316212280845,0.2841621228084582
2022,6,Barcelona,2,ALO,52.0,3.0,SOFT,88.164,88.08081024388058,0.08318975611942564
2022,6,Barcelona,2,ALO,59.0,4.0,SOFT,86.611,86.83610045549817,0.22510045549817018
2022,6,Barcelona,2,ALO,60.0,4.0,SOFT,86.926,86.67252788925941,0.25347211074059284
2022,6,Barcelona,2,ALO,61.0,4.0,SOFT,87.384,86.93697115457013,0.44702884542987475
2022,6,Barcelona,2,ALO,62.0,4.0,SOFT,87.719,87.38205232550386,0.3369476744961321
2022,6,Barcelona,2,ALO,63.0,4.0,SOFT,87.421,87.73383311886013,0.31283311886012277
2022,6,Barcelona,2,ALO,64.0,4.0,SOFT,88.493,87.47391710962728,1.019082890372716
2022,6,Barcelona,2,ALO,65.0,4.0,SOFT,88.27,88.23953105973806,0.03046894026194738
2022,6,Barcelona,2,BOT,5.0,1.0,SOFT,88.999,88.54282241113614,0.4561775888638492
