Year,RoundNumber,Location,Location_Encoded,Driver,LapNumber,Stint,Compound,Actual,Predicted,Error
2022,6,Barcelona,2,ALB,5.0,1.0,SOFT,90.495,90.26868357959363,0.22631642040637412
2022,6,Barcelona,2,ALB,6.0,1.0,SOFT,91.25,90.52084314840477,0.7291568515952301
2022,6,Barcelona,2,ALB,20.0,2.0,MEDIUM,91.912,91.40699294838103,0.5050070516189727
2022,6,Barcelona,2,ALB,21.0,2.0,MEDIUM,92.144,91.87745180062811,0.2665481993718937
2022,6,Barcelona,2,ALB,22.0,2.0,MEDIUM,92.098,92.15260638881918,0.05460638881917526
2022,6,Barcelona,2,ALB,23.0,2.0,MEDIUM,91.525,92.16080037106623,0.6358003710662301
2022,6,Barcelona,2,ALB,24.0,2.0,MEDIUM,91.595,91.54746933743955,0.047530662560444845
2022,6,Barcelona,2,ALB,31.0,3.0,SOFT,90.928,89.99157419018881,0.9364258098111883
2022,6,Barcelona,2,ALB,32.0,3.0,SOFT,90.177,90.59518601505121,0.41818601505120206
2022,6,Barcelona,2,ALB,33.0,3.0,SOFT,91.53,90.23242436643648,1.2975756335635251
2022,6,Barcelona,2,ALB,34.0,3.0,SOFT,90.018,91.12661013646229,1.1086101364622913
2022,6,Barcelona,2,ALB,35.0,3.0,SOFT,89.893,90.07467877138355,0.18167877138353947
2022,6,Barcelona,2,ALB,43.0,3.0,SOFT,91.617,91.37006942711818,0.24693057288182893
2022,6,Barcelona,2,ALB,44.0,3.0,SOFT,90.755,91.63733483019259,0.8823348301925936
2022,6,Barcelona,2,ALB,51.0,4.0,MEDIUM,89.287,89.59757984248434,0.31057984248433557
2022,6,Barcelona,2,ALB,52.0,4.0,MEDIUM,90.629,89.36349613664548,1.2655038633545308
2022,6,Barcelona,2,ALB,53.0,4.0,MEDIUM,89.561,90.16730779424198,0.6063077942419653
2022,6,Barcelona,2,ALB,60.0,5.0,SOFT,90.057,88.77841264098521,1.2785873590147931
2022,6,Barcelona,2,ALB,61.0,5.0,SOFT,89.229,89.62264740376035,0.3936474037603565
2022,6,Barcelona,2,ALO,5.0,1.0,SOFT,89.174,89.65638053827291,0.4823805382729028
2022,6,Barcelona,2,ALO,6.0,1.0,SOFT,90.389,89.22163020260099,1.1673697973990094
