Driver,MAE,Laps
VER,0.22641167814961363,2829
RUS,0.27248153713042084,2822
NOR,0.2762144428266837,2804
LEC,0.28701073915552233,2704
ANT,0.2906530340048078,712
PIA,0.2981534152843058,2294
SAI,0.3006935467106886,2698
PER,0.30937571544823156,1756
ALO,0.3166894735501226,2702
LAW,0.32176278885952647,1089
HAM,0.3241202663212604,2713
OCO,0.3290820214126425,2676
DEV,0.3302406407898506,363
ALB,0.3343588027717217,2335
BEA,0.33754376438527245,859
VET,0.34166050004736437,413
HAD,0.34559651705887834,814
BOR,0.3489432990462356,758
STR,0.3494817086021789,2558
TSU,0.35130171262445936,2530
GAS,0.35556826811961956,2515
HUL,0.3910852508854133,2135
ZHO,0.39213946649440623,1801
MAG,0.4027683789402741,1735
COL,0.40611707940217134,895
BOT,0.4085855375217313,1867
RIC,0.422388019241718,1248
DOO,0.42847503484984967,171
SAR,0.43855069338728575,1051
MSC,0.46625297107553415,383
LAT,0.49256260030217364,387
