Feature,Importance
Prev_Delta,638
LapNumber,124
Position,118
Lap_Damage,61
FuelLoad,60
TyreLife,50
Grip_Aero_Balance,47
Humidity,39
Cumulative_Field_Dist_KM,38
TrackTemp,33
Wear_Severity_Index,32
Std_Throttle_Integral_Norm,29
Gap_To_Car_Ahead,28
Asphalt_Abrasion_1_5,26
Min_Pressure_Rear_PSI,26
Lag_2,25
Tyre_Compound_Interaction,23
Prev_LapTime,22
Style_Entropy,22
Total_Min_Pressure,21
P_1,21
Track_Flow_Type,20
E_lap,20
Tyre_Stress_1_5,18
Track_Evolution_Physics,17
Mean_Brake_Point_Norm,16
Circuit_Length_KM,15
Std_Speed_CV,14
Mean_Brake_Fraction,13
Compound_Int,13
Std_Throttle_On_Dist_Norm,11
Mean_Apex_Speed_Ratio,11
Rolling_Avg_3,11
Tyre_Grip_Index,10
WindDirection,10
Accumulated_Tyre_Wear,8
WindSpeed,6
AirTemp,6
Pressure,6
Location_Encoded,5
Asphalt_Grip_1_5,5
LatOffset_Std,5
Driver_Encoded,4
Std_Brake_Fraction,4
Mean_Throttle_On_Dist_Norm,3
Dirty_Air_Fraction,2
DRS_Fraction,2
Track_Evolution_1_5,1
Std_Apex_Speed_Ratio,1
Pressure_Delta,1
Mean_Speed_CV,1
P_2,0
Style_Cluster_ID,0
Aero_Loss,0
P_0,0
Year,0
Mean_Throttle_Integral_Norm,0
Std_Brake_Point_Norm,0
Team_Encoded,0
Min_Pressure_Front_PSI,0
Downforce_1_5,0
Lateral_1_5,0
Braking_1_5,0
Traction_1_5,0
Stint,0
LatOffset_Mean,0
