Feature,Importance
Prev_Delta,920
Lap_Damage,197
Position,188
LapNumber,175
FuelLoad,108
Cumulative_Field_Dist_KM,84
Humidity,83
TyreLife,81
TrackTemp,78
Grip_Aero_Balance,57
Gap_To_Car_Ahead,53
Asphalt_Abrasion_1_5,50
Mean_Brake_Fraction,48
Circuit_Length_KM,42
Min_Pressure_Rear_PSI,41
Prev_LapTime,38
Mean_Brake_Point_Norm,34
AirTemp,33
Tyre_Compound_Interaction,32
Total_Min_Pressure,31
Std_Throttle_On_Dist_Norm,30
Track_Flow_Type,29
WindDirection,28
Compound_Int,26
Location_Encoded,20
Driver_Encoded,19
Tyre_Stress_1_5,19
Lag_2,18
Style_Entropy_k2,18
Mean_Throttle_Integral_Norm,17
Track_Evolution,17
Pressure,15
Downforce_1_5,14
Std_Throttle_Integral_Norm,11
Energy_Lap,11
P_0_k2,10
Wear_Severity_Index,10
Rolling_Avg_3,8
Asphalt_Grip_1_5,8
Dirty_Air_Fraction,8
Accumulated_Tyre_Wear,8
LatOffset_Mean,7
Mean_Speed_Variability,5
Aero_Loss,5
Std_Speed_Variability,5
Mean_Apex_Speed_Ratio,4
LatOffset_Std,4
Track_Evolution_1_5,3
Std_Brake_Fraction,2
Std_Brake_Point_Norm,2
Stint,2
Pressure_Delta,1
WindSpeed,1
Mean_Throttle_On_Dist_Norm,1
DRS_Fraction,1
Min_Pressure_Front_PSI,1
Year,1
P_1_k2,1
Braking_1_5,0
Std_Apex_Speed_Ratio,0
Team_Encoded,0
Lateral_1_5,0
Style_Cluster_ID_k2,0
Traction_1_5,0
