Year,RoundNumber,Location,Location_Encoded,Driver,LapNumber,Stint,Compound,Actual,Predicted,Error
2022,6,Barcelona,2,ALB,5.0,1.0,SOFT,90.495,90.4387837027208,0.056216297279211486
2022,6,Barcelona,2,ALB,6.0,1.0,SOFT,91.25,90.74207596254904,0.5079240374509583
2022,6,Barcelona,2,ALB,20.0,2.0,MEDIUM,91.912,91.42373527801588,0.4882647219841209
2022,6,Barcelona,2,ALB,21.0,2.0,MEDIUM,92.144,91.9384196376564,0.20558036234360536
2022,6,Barcelona,2,ALB,22.0,2.0,MEDIUM,92.098,92.16553853638854,0.06753853638854211
2022,6,Barcelona,2,ALB,23.0,2.0,MEDIUM,91.525,92.16371878238358,0.6387187823835736
2022,6,Barcelona,2,ALB,24.0,2.0,MEDIUM,91.595,91.59361786095505,0.001382139044944053
2022,6,Barcelona,2,ALB,31.0,3.0,SOFT,90.928,90.00630026059652,0.9216997394034745
2022,6,Barcelona,2,ALB,32.0,3.0,SOFT,90.177,90.13928755528104,0.0377124447189654
2022,6,Barcelona,2,ALB,33.0,3.0,SOFT,91.53,90.26371694841419,1.2662830515858223
2022,6,Barcelona,2,ALB,34.0,3.0,SOFT,90.018,91.01653309570086,0.9985330957008711
2022,6,Barcelona,2,ALB,35.0,3.0,SOFT,89.893,90.07138238740984,0.17838238740984175
2022,6,Barcelona,2,ALB,43.0,3.0,SOFT,91.617,91.3810276777904,0.23597232220960807
2022,6,Barcelona,2,ALB,44.0,3.0,SOFT,90.755,91.65058780993394,0.8955878099339436
2022,6,Barcelona,2,ALB,51.0,4.0,MEDIUM,89.287,89.64610799156043,0.3591079915604266
2022,6,Barcelona,2,ALB,52.0,4.0,MEDIUM,90.629,89.37186894235052,1.2571310576494896
2022,6,Barcelona,2,ALB,53.0,4.0,MEDIUM,89.561,89.77704375937337,0.21604375937335807
2022,6,Barcelona,2,ALB,60.0,5.0,SOFT,90.057,88.92478003847253,1.1322199615274664
2022,6,Barcelona,2,ALB,61.0,5.0,SOFT,89.229,89.13829077347435,0.09070922652565316
