Feature,Mean_Abs_SHAP
Prev_Delta,0.09716695491187553
Position,0.01870285113212121
LapNumber,0.011524690074951278
Asphalt_Abrasion_1_5,0.011218427683319723
FuelLoad,0.006640034990966904
Humidity,0.006101631768093224
Prev_LapTime,0.0058868077943216215
Cumulative_Field_Dist_KM,0.004698233218648184
TyreLife,0.003149914787947507
Lap_Damage,0.0030896475303728646
Tyre_Stress_1_5,0.002412449537368984
Lag_2,0.0021496950213521476
Energy_Lap,0.0015290820925118421
TrackTemp,0.0013578735619907507
Pressure,0.0013538427759386313
Downforce_1_5,0.001353671846657584
Track_Evolution,0.00124988467145217
Tyre_Compound_Interaction,0.0011084912168373687
Wear_Severity_Index,0.0010105730583455687
Mean_Speed_Variability,0.000980627270668793
AirTemp,0.0008766830648608971
Mean_Brake_Fraction,0.0007683500717712615
WindDirection,0.0007482725469040342
Track_Flow_Type,0.0007065382418377195
WindSpeed,0.000671599370139126
Std_Brake_Fraction,0.000637239966591111
Rolling_Avg_3,0.0006366755856877303
Min_Pressure_Front_PSI,0.0006326898948509823
Location_Encoded,0.000597458231200281
Circuit_Length_KM,0.0005800598005391449
Min_Pressure_Rear_PSI,0.0005543342858877727
Gap_To_Car_Ahead,0.0005439956495904496
Grip_Aero_Balance,0.0005074251750287458
Std_Throttle_Integral_Norm,0.000469172106732717
Accumulated_Tyre_Wear,0.00046830635413888785
Std_Throttle_On_Dist_Norm,0.00045950140087073024
Compound_Int,0.0004494019588939129
Total_Min_Pressure,0.0004448940589904129
Mean_Brake_Point_Norm,0.00041759051572937134
P_1,0.0004092202380559881
Std_Apex_Speed_Ratio,0.00035869573639342103
P_2,0.0003422989025970585
Style_Entropy,0.0003134086687126851
Mean_Throttle_On_Dist_Norm,0.0002965461932021281
Std_Speed_Variability,0.00029314508127625366
Aero_Loss,0.00025346509383951854
Asphalt_Grip_1_5,0.00022501866569100157
Stint,0.00019750852997066554
Traction_1_5,0.0001782507892464414
LatOffset_Mean,0.00015727342657423038
Dirty_Air_Fraction,0.0001528751364440854
Driver_Encoded,0.00015107202680760996
DRS_Fraction,0.00014823726199579573
Braking_1_5,0.0001446436843606633
Mean_Apex_Speed_Ratio,0.00013807199313396328
Pressure_Delta,0.00013263817154351737
Std_Brake_Point_Norm,0.0001320465630299657
P_0,0.00012232566294601338
Mean_Throttle_Integral_Norm,0.00011939109277676465
LatOffset_Std,0.00011856488345972967
Track_Evolution_1_5,7.911117540975264e-05
Team_Encoded,7.429350254082708e-05
Year,7.074251602043441e-05
Lateral_1_5,5.667357605556219e-05
Style_Cluster_ID,4.306168433286148e-07
