Driver,MAE,Laps
VER,0.22873748971284533,2829
RUS,0.2754711840920657,2822
NOR,0.2786743407480103,2804
LEC,0.289881629376416,2704
ANT,0.29446049894496107,712
SAI,0.3006278610367007,2698
PIA,0.301175147299959,2294
PER,0.3100365653483897,1756
ALO,0.3183136222839186,2702
LAW,0.3204493495177194,1089
HAM,0.3220331146003911,2713
OCO,0.32612746911949664,2676
BEA,0.33690367803270116,859
DEV,0.33881549843655395,363
ALB,0.3394894299798385,2335
VET,0.34620909876384914,413
HAD,0.3485275227417498,814
STR,0.3493174005736141,2558
BOR,0.35120907847179306,758
TSU,0.3530822174397503,2530
GAS,0.3558521375280699,2515
HUL,0.38957391327115526,2135
ZHO,0.3911942052348273,1801
MAG,0.40539168343249166,1735
COL,0.4082906050533446,895
BOT,0.41148275418477953,1867
RIC,0.4247046906450525,1248
DOO,0.4405528416991598,171
SAR,0.44421171332085,1051
MSC,0.4600702244052703,383
LAT,0.4891300319933135,387
