Feature,Importance
Prev_Delta,0.7901228495310894
Lap_Damage,0.01803841172707406
TrackTemp,0.014857693958814474
Position,0.014283129052869735
LapNumber,0.014156096803171838
FuelLoad,0.01220277853555634
Prev_LapTime,0.008911056754859082
Humidity,0.0075985895786496345
Cumulative_Field_Dist_KM,0.0072570012535400335
Lag_2,0.006383651242409886
TyreLife,0.00635978096239397
Grip_Aero_Balance,0.005818072802035845
AirTemp,0.005804616385609919
Mean_Brake_Point_Norm,0.005682646372519769
Track_Evolution,0.005598831484785982
Tyre_Compound_Interaction,0.00500400841371063
Rolling_Avg_3,0.004366834545076574
WindDirection,0.00399544377769768
Accumulated_Tyre_Wear,0.003512680011926405
Total_Min_Pressure,0.003356430209874525
Mean_Brake_Fraction,0.0033116083490282245
Circuit_Length_KM,0.0030154965438357953
Pressure,0.0028887850754944692
Wear_Severity_Index,0.002749196886662761
Energy_Lap,0.0024579928722410346
Std_Brake_Fraction,0.0022227391364970047
Gap_To_Car_Ahead,0.002160612188532704
Std_Speed_Variability,0.002142863831711245
Asphalt_Abrasion_1_5,0.0020734558103210495
Driver_Encoded,0.0019001383718252136
Aero_Loss,0.0018808842185575815
Dirty_Air_Fraction,0.0018786711830804867
Min_Pressure_Rear_PSI,0.0017015087288094575
Asphalt_Grip_1_5,0.001665060248547134
Year,0.0014643376116930532
Std_Throttle_On_Dist_Norm,0.0013962817127187001
Std_Brake_Point_Norm,0.0013783691626626168
Mean_Speed_Variability,0.0012011400516946833
Style_Entropy_k2,0.001194205653979052
Min_Pressure_Front_PSI,0.0011836731378473309
Mean_Throttle_Integral_Norm,0.0011447894396005185
Mean_Apex_Speed_Ratio,0.0011283604081106585
Std_Apex_Speed_Ratio,0.0011271316796495731
LatOffset_Std,0.001074873651183971
Location_Encoded,0.0010505950462465017
Stint,0.000989809792734742
LatOffset_Mean,0.0009681363493050379
DRS_Fraction,0.0009447798486151028
WindSpeed,0.0009281567387646615
P_0_k2,0.0008529247735274326
Compound_Int,0.0008374101745406802
Std_Throttle_Integral_Norm,0.0008304792145415852
Tyre_Stress_1_5,0.0007865152251911916
Mean_Throttle_On_Dist_Norm,0.0007806700383865977
Braking_1_5,0.00074772888067993
P_1_k2,0.0006151202082600076
Track_Flow_Type,0.0004892993702064762
Track_Evolution_1_5,0.0004627471049761468
Team_Encoded,0.000443465483468881
Traction_1_5,0.0002123490446403229
Downforce_1_5,0.00016507696296837827
Pressure_Delta,0.00013854382818638563
Lateral_1_5,8.031264035670333e-05
Style_Cluster_ID_k2,2.3099916453179394e-05
