Year,RoundNumber,Location,Location_Encoded,Driver,LapNumber,Stint,Compound,Actual,Predicted,Error
2022,6,Barcelona,2,ALB,5.0,1.0,SOFT,90.495,90.41438314041841,0.08061685958159553
2022,6,Barcelona,2,ALB,6.0,1.0,SOFT,91.25,90.62871875044458,0.6212812495554167
2022,6,Barcelona,2,ALB,20.0,2.0,MEDIUM,91.912,91.4635627985348,0.4484372014652116
2022,6,Barcelona,2,ALB,21.0,2.0,MEDIUM,92.144,91.87534076426725,0.26865923573276157
2022,6,Barcelona,2,ALB,22.0,2.0,MEDIUM,92.098,92.17559885573712,0.07759885573711936
2022,6,Barcelona,2,ALB,23.0,2.0,MEDIUM,91.525,92.2354726236958,0.7104726236957887
2022,6,Barcelona,2,ALB,24.0,2.0,MEDIUM,91.595,91.67146071732452,0.07646071732452955
2022,6,Barcelona,2,ALB,31.0,3.0,SOFT,90.928,90.05147361976414,0.8765263802358654
2022,6,Barcelona,2,ALB,32.0,3.0,SOFT,90.177,90.14526696899358,0.03173303100642322
2022,6,Barcelona,2,ALB,33.0,3.0,SOFT,91.53,90.32836064833108,1.201639351668922
2022,6,Barcelona,2,ALB,34.0,3.0,SOFT,90.018,90.66081402931023,0.6428140293102312
2022,6,Barcelona,2,ALB,35.0,3.0,SOFT,89.893,90.17265930601215,0.27965930601214795
2022,6,Barcelona,2,ALB,43.0,3.0,SOFT,91.617,91.35779126952563,0.25920873047437315
2022,6,Barcelona,2,ALB,44.0,3.0,SOFT,90.755,91.67095581290526,0.9159558129052651
2022,6,Barcelona,2,ALB,51.0,4.0,MEDIUM,89.287,89.67606663915666,0.3890666391566483
2022,6,Barcelona,2,ALB,52.0,4.0,MEDIUM,90.629,89.43645767417878,1.1925423258212249
2022,6,Barcelona,2,ALB,53.0,4.0,MEDIUM,89.561,89.68798334184272,0.12698334184271376
2022,6,Barcelona,2,ALB,60.0,5.0,SOFT,90.057,88.93031769712015,1.1266823028798627
2022,6,Barcelona,2,ALB,61.0,5.0,SOFT,89.229,89.0333287238934,0.19567127610659352
2022,6,Barcelona,2,ALO,5.0,1.0,SOFT,89.174,89.8131718922338,0.6391718922337946
2022,6,Barcelona,2,ALO,6.0,1.0,SOFT,90.389,89.35698617111645,1.0320138288835485
2022,6,Barcelona,2,ALO,16.0,2.0,MEDIUM,89.74,89.6391920506307,0.10080794936930082
2022,6,Barcelona,2,ALO,17.0,2.0,MEDIUM,89.62,89.74431654121489,0.12431654121488314
2022,6,Barcelona,2,ALO,18.0,2.0,MEDIUM,89.783,89.70938964411044,0.07361035588955868
2022,6,Barcelona,2,ALO,19.0,2.0,MEDIUM,89.681,89.82341294334839,0.1424129433483946
2022,6,Barcelona,2,ALO,20.0,2.0,MEDIUM,89.82,89.7499760077551,0.07002399224490134
2022,6,Barcelona,2,ALO,21.0,2.0,MEDIUM,89.888,89.87763582693287,0.01036417306713578
2022,6,Barcelona,2,ALO,22.0,2.0,MEDIUM,89.737,89.94775548930657,0.21075548930657198
2022,6,Barcelona,2,ALO,23.0,2.0,MEDIUM,89.763,89.79908675771024,0.03608675771023953
2022,6,Barcelona,2,ALO,24.0,2.0,MEDIUM,89.738,89.82497743259063,0.08697743259062558
2022,6,Barcelona,2,ALO,30.0,2.0,MEDIUM,89.996,89.7813112272887,0.21468877271129674
2022,6,Barcelona,2,ALO,37.0,3.0,SOFT,88.053,88.47303370658216,0.4200337065821545
2022,6,Barcelona,2,ALO,38.0,3.0,SOFT,88.089,88.13172848818908,0.0427284881890893
2022,6,Barcelona,2,ALO,39.0,3.0,SOFT,88.234,88.15067386227052,0.08332613772947653
2022,6,Barcelona,2,ALO,40.0,3.0,SOFT,88.445,88.30798720249143,0.13701279750855516
2022,6,Barcelona,2,ALO,41.0,3.0,SOFT,88.339,88.51339772296518,0.17439772296518474
2022,6,Barcelona,2,ALO,42.0,3.0,SOFT,88.995,88.41390777637827,0.5810922236217445
2022,6,Barcelona,2,ALO,43.0,3.0,SOFT,87.271,88.8121367887027,1.541136788702708
2022,6,Barcelona,2,ALO,44.0,3.0,SOFT,87.764,87.38529275822447,0.3787072417755347
2022,6,Barcelona,2,ALO,45.0,3.0,SOFT,87.693,87.70252297130676,0.009522971306768213
2022,6,Barcelona,2,ALO,46.0,3.0,SOFT,87.715,87.80139657644209,0.086396576442081
2022,6,Barcelona,2,ALO,47.0,3.0,SOFT,87.855,87.81100177733049,0.04399822266951961
2022,6,Barcelona,2,ALO,48.0,3.0,SOFT,87.849,87.96206304006702,0.11306304006702353
2022,6,Barcelona,2,ALO,49.0,3.0,SOFT,88.119,87.94499684995924,0.17400315004076605
2022,6,Barcelona,2,ALO,50.0,3.0,SOFT,88.296,88.14003944306772,0.15596055693228525
2022,6,Barcelona,2,ALO,51.0,3.0,SOFT,88.039,88.36920612209614,0.3302061220961461
2022,6,Barcelona,2,ALO,52.0,3.0,SOFT,88.164,88.13472704844936,0.029272951550642787
2022,6,Barcelona,2,ALO,59.0,4.0,SOFT,86.611,86.87180965420168,0.26080965420167423
2022,6,Barcelona,2,ALO,60.0,4.0,SOFT,86.926,86.7559021781504,0.17009782184960523
2022,6,Barcelona,2,ALO,61.0,4.0,SOFT,87.384,86.95257063132314,0.4314293686768632
2022,6,Barcelona,2,ALO,62.0,4.0,SOFT,87.719,87.37092809014902,0.34807190985097397
2022,6,Barcelona,2,ALO,63.0,4.0,SOFT,87.421,87.7694552768542,0.3484552768542007
2022,6,Barcelona,2,ALO,64.0,4.0,SOFT,88.493,87.60881324622714,0.884186753772846
2022,6,Barcelona,2,ALO,65.0,4.0,SOFT,88.27,87.62348047228149,0.6465195277185086
2022,6,Barcelona,2,BOT,5.0,1.0,SOFT,88.999,88.64013364182914,0.3588663581708588
2022,6,Barcelona,2,BOT,6.0,1.0,SOFT,88.984,89.03513655834807,0.05113655834807748
2022,6,Barcelona,2,BOT,13.0,1.0,SOFT,89.267,89.43937866885868,0.17237866885868963
2022,6,Barcelona,2,BOT,19.0,2.0,MEDIUM,88.389,88.50030351828657,0.11130351828657262
2022,6,Barcelona,2,BOT,20.0,2.0,MEDIUM,88.55,88.4408603066326,0.10913969336740321
2022,6,Barcelona,2,BOT,21.0,2.0,MEDIUM,88.613,88.57600512880846,0.03699487119153923
2022,6,Barcelona,2,BOT,22.0,2.0,MEDIUM,88.189,88.64094798766587,0.45194798766587596
2022,6,Barcelona,2,BOT,23.0,2.0,MEDIUM,88.803,88.25060473023416,0.5523952697658397
2022,6,Barcelona,2,BOT,24.0,2.0,MEDIUM,88.563,88.67105459432204,0.1080545943220361
