Feature,Importance
Rolling_Avg_3,1.3904492945626177
Cumulative_Field_Dist_KM,0.8530825925584004
Track_Evolution,0.8460126411185251
Prev_LapTime,0.7435440486155813
Lag_2,0.7329365191877993
Prev_Delta,0.18278916229274406
Energy_Lap,0.07043808961304655
Tyre_Stress_1_5,0.03643950934511151
Asphalt_Abrasion_1_5,0.03283742676602248
Wear_Severity_Index,0.03146806844956531
Grip_Aero_Balance,0.03111912872084134
Mean_Brake_Point_Norm,0.03087392732690841
FuelLoad,0.030722634353677437
Gap_To_Car_Ahead,0.028603906128127632
AirTemp,0.027787349849743185
Traction_1_5,0.02731795276638801
Lap_Damage,0.025231382765661867
Humidity,0.02461203912310848
LapNumber,0.023041923889777365
Position,0.022967985064876652
Tyre_Compound_Interaction,0.022632050351651663
Std_Brake_Point_Norm,0.02222395942023139
Year,0.02112892886945026
Std_Apex_Speed_Ratio,0.01762499114637622
Lateral_1_5,0.017398042082669565
LatOffset_Std,0.016760660575686648
TrackTemp,0.01636520378250302
Total_Min_Pressure,0.014736204030280337
Min_Pressure_Front_PSI,0.014493322132844653
Pressure,0.014490798820926628
Min_Pressure_Rear_PSI,0.014166534494123277
Aero_Loss,0.013799283753931527
Track_Flow_Type,0.013211901101195342
Circuit_Length_KM,0.01203361843655047
Braking_1_5,0.011538514615557115
Std_Throttle_Integral_Norm,0.010970211523607087
LatOffset_Mean,0.0105740038939885
Accumulated_Tyre_Wear,0.01054552662918544
DRS_Fraction,0.009738645316769413
WindSpeed,0.009117759544247709
Style_Cluster_ID,0.008523207136053281
Location_Encoded,0.00722242136275746
Compound_Int,0.006470137818963628
Std_Speed_Variability,0.00560383665496354
Mean_Brake_Fraction,0.005430990470889271
TyreLife,0.004692622776122014
Mean_Throttle_Integral_Norm,0.004490486676194764
Asphalt_Grip_1_5,0.004271739301649502
Style_Entropy,0.004201503630243795
Dirty_Air_Fraction,0.00415182259595197
Track_Evolution_1_5,0.003782380571238774
WindDirection,0.0036821399043476546
Driver_Encoded,0.0036497011482927275
Mean_Speed_Variability,0.002591519309621355
Std_Brake_Fraction,0.0019461236067931085
Pressure_Delta,0.0018967895773881853
Std_Throttle_On_Dist_Norm,0.001697182827096035
P_2,0.0016274433439248239
Stint,0.0015769754740635902
P_0,0.0011511561339778008
Team_Encoded,0.0010875480046447803
Downforce_1_5,0.0008630653406666843
Mean_Throttle_On_Dist_Norm,0.0007609135156959819
P_1,0.00029762871988493403
Mean_Apex_Speed_Ratio,0.00011886157002507857
