Feature,Importance
Rolling_Avg_3,1.3909343589388905
Cumulative_Field_Dist_KM,0.8519520555416618
Track_Evolution,0.8449353546528945
Prev_LapTime,0.7429773449515356
Lag_2,0.732366233025685
Prev_Delta,0.1828626247933586
Energy_Lap,0.07016585610636897
Tyre_Stress_1_5,0.03416456958416336
Asphalt_Abrasion_1_5,0.034123743021381096
Mean_Brake_Point_Norm,0.031348977795932806
FuelLoad,0.030999227873027488
Grip_Aero_Balance,0.030745805808314316
Wear_Severity_Index,0.029067456816868013
Gap_To_Car_Ahead,0.02854623901107204
AirTemp,0.027433874524007508
Traction_1_5,0.02544539339993573
Humidity,0.024894010269772466
Lap_Damage,0.02478263986740689
Tyre_Compound_Interaction,0.023286655535986394
LapNumber,0.022897760632600815
Position,0.02278959812208357
Std_Brake_Point_Norm,0.022660387938540565
Year,0.021045308589481424
Std_Apex_Speed_Ratio,0.017921719192877023
Lateral_1_5,0.017269548227502516
LatOffset_Std,0.016847903404286036
TrackTemp,0.016285773603860177
Track_Flow_Type,0.015439067274727339
Total_Min_Pressure,0.014543309686886295
Min_Pressure_Front_PSI,0.014208176574497805
Min_Pressure_Rear_PSI,0.014080313997819371
Pressure,0.013797222466390584
Aero_Loss,0.013789396684362014
Circuit_Length_KM,0.011870627781156442
LatOffset_Mean,0.010852791995830972
Braking_1_5,0.010727262412879399
Accumulated_Tyre_Wear,0.0106024571487733
Std_Throttle_Integral_Norm,0.01057833249177527
DRS_Fraction,0.009781283988048128
WindSpeed,0.008474796144349392
Location_Encoded,0.0072114645733677525
Compound_Int,0.006223774768277225
Mean_Brake_Fraction,0.006167970982632917
Std_Speed_Variability,0.005973443390928739
TyreLife,0.005466932592537869
Asphalt_Grip_1_5,0.004621409380304217
Track_Evolution_1_5,0.004591623346156653
Style_Cluster_ID_k2,0.004533756170823065
Dirty_Air_Fraction,0.0042150411513347035
Driver_Encoded,0.0038603389555163883
Mean_Throttle_Integral_Norm,0.003819927744924327
WindDirection,0.003565240735980867
Mean_Speed_Variability,0.0033034408440982036
Downforce_1_5,0.002630953282207642
Std_Brake_Fraction,0.001828770818253599
Stint,0.001775085632096722
Mean_Throttle_On_Dist_Norm,0.0017455691632662527
Pressure_Delta,0.001454611127034218
Team_Encoded,0.001080394096803787
Style_Entropy_k2,0.0008785717917005436
Std_Throttle_On_Dist_Norm,0.0007233436703974769
Mean_Apex_Speed_Ratio,9.971645714032968e-05
P_1_k2,4.378267837686735e-05
P_0_k2,4.3782678140726864e-05
