Year,RoundNumber,Location,Location_Encoded,Driver,LapNumber,Stint,Compound,Actual,Predicted,Error
2022,6,Barcelona,2,ALB,5.0,1.0,SOFT,90.495,91.05742053056056,0.5624205305605643
2022,6,Barcelona,2,ALB,6.0,1.0,SOFT,91.25,91.02163121170189,0.2283687882981119
2022,6,Barcelona,2,ALB,20.0,2.0,MEDIUM,91.912,91.24736535756364,0.6646346424363722
2022,6,Barcelona,2,ALB,21.0,2.0,MEDIUM,92.144,91.61318867142488,0.5308113285751234
2022,6,Barcelona,2,ALB,22.0,2.0,MEDIUM,92.098,91.7875960342898,0.3104039657101928
2022,6,Barcelona,2,ALB,23.0,2.0,MEDIUM,91.525,91.75651600618514,0.23151600618513524
2022,6,Barcelona,2,ALB,24.0,2.0,MEDIUM,91.595,91.6834620413944,0.0884620413944106
2022,6,Barcelona,2,ALB,31.0,3.0,SOFT,90.928,90.5247164424093,0.4032835575906971
2022,6,Barcelona,2,ALB,32.0,3.0,SOFT,90.177,90.92194216360832,0.7449421636083163
2022,6,Barcelona,2,ALB,33.0,3.0,SOFT,91.53,90.80623536099691,0.7237646390030987
2022,6,Barcelona,2,ALB,34.0,3.0,SOFT,90.018,91.33056018034377,1.3125601803437728
2022,6,Barcelona,2,ALB,35.0,3.0,SOFT,89.893,90.92344449427523,1.0304444942752229
2022,6,Barcelona,2,ALB,43.0,3.0,SOFT,91.617,91.38733226420037,0.2296677357996328
2022,6,Barcelona,2,ALB,44.0,3.0,SOFT,90.755,91.51107683625736,0.7560768362573629
2022,6,Barcelona,2,ALB,51.0,4.0,MEDIUM,89.287,90.08667147712372,0.7996714771237043
2022,6,Barcelona,2,ALB,52.0,4.0,MEDIUM,90.629,89.98188042825305,0.6471195717469556
2022,6,Barcelona,2,ALB,53.0,4.0,MEDIUM,89.561,90.51263541773908,0.9516354177390658
2022,6,Barcelona,2,ALB,60.0,5.0,SOFT,90.057,89.58935847138117,0.46764152861883235
2022,6,Barcelona,2,ALB,61.0,5.0,SOFT,89.229,89.98729555446123,0.7582955544612213
2022,6,Barcelona,2,ALO,5.0,1.0,SOFT,89.174,90.51800725215932,1.3440072521593167
2022,6,Barcelona,2,ALO,6.0,1.0,SOFT,90.389,90.11351257354936,0.2754874264506444
2022,6,Barcelona,2,ALO,16.0,2.0,MEDIUM,89.74,90.08833928906579,0.3483392890657844
2022,6,Barcelona,2,ALO,17.0,2.0,MEDIUM,89.62,90.16709675089582,0.5470967508958142
2022,6,Barcelona,2,ALO,18.0,2.0,MEDIUM,89.783,90.11366570314473,0.3306657031447261
2022,6,Barcelona,2,ALO,19.0,2.0,MEDIUM,89.681,90.22790927655949,0.5469092765594862
2022,6,Barcelona,2,ALO,20.0,2.0,MEDIUM,89.82,90.23426962431544,0.41426962431544634
2022,6,Barcelona,2,ALO,21.0,2.0,MEDIUM,89.888,90.10402213058317,0.2160221305831732
2022,6,Barcelona,2,ALO,22.0,2.0,MEDIUM,89.737,90.0377018329601,0.30070183296010194
2022,6,Barcelona,2,ALO,23.0,2.0,MEDIUM,89.763,90.0182037651118,0.25520376511179704
2022,6,Barcelona,2,ALO,24.0,2.0,MEDIUM,89.738,89.89968833789791,0.16168833789791187
2022,6,Barcelona,2,ALO,30.0,2.0,MEDIUM,89.996,89.96606973010614,0.029930269893850614
2022,6,Barcelona,2,ALO,37.0,3.0,SOFT,88.053,89.0783668382836,1.0253668382835963
2022,6,Barcelona,2,ALO,38.0,3.0,SOFT,88.089,88.93012754898987,0.8411275489898746
2022,6,Barcelona,2,ALO,39.0,3.0,SOFT,88.234,89.00712191729303,0.7731219172930446
2022,6,Barcelona,2,ALO,40.0,3.0,SOFT,88.445,88.97150779851297,0.5265077985129877
2022,6,Barcelona,2,ALO,41.0,3.0,SOFT,88.339,88.95229253821988,0.6132925382198818
2022,6,Barcelona,2,ALO,42.0,3.0,SOFT,88.995,88.9441597391023,0.05084026089770788
2022,6,Barcelona,2,ALO,43.0,3.0,SOFT,87.271,89.26094099430557,1.9899409943055728
2022,6,Barcelona,2,ALO,44.0,3.0,SOFT,87.764,88.7606227418106,0.9966227418105955
2022,6,Barcelona,2,ALO,45.0,3.0,SOFT,87.693,88.6563680018278,0.9633680018278064
2022,6,Barcelona,2,ALO,46.0,3.0,SOFT,87.715,88.52691817366393,0.8119181736639318
2022,6,Barcelona,2,ALO,47.0,3.0,SOFT,87.855,88.5838047671354,0.7288047671354008
2022,6,Barcelona,2,ALO,48.0,3.0,SOFT,87.849,88.56291489123701,0.713914891237007
2022,6,Barcelona,2,ALO,49.0,3.0,SOFT,88.119,88.5182947180716,0.3992947180715969
2022,6,Barcelona,2,ALO,50.0,3.0,SOFT,88.296,88.60854152256711,0.31254152256710904
2022,6,Barcelona,2,ALO,51.0,3.0,SOFT,88.039,88.81228519404236,0.7732851940423622
2022,6,Barcelona,2,ALO,52.0,3.0,SOFT,88.164,88.69538527295323,0.5313852729532296
2022,6,Barcelona,2,ALO,59.0,4.0,SOFT,86.611,87.75501197916134,1.1440119791613272
2022,6,Barcelona,2,ALO,60.0,4.0,SOFT,86.926,87.7169514985181,0.7909514985180961
2022,6,Barcelona,2,ALO,61.0,4.0,SOFT,87.384,87.83414169400378,0.4501416940037808
2022,6,Barcelona,2,ALO,62.0,4.0,SOFT,87.719,87.986059082036,0.26705908203599366
2022,6,Barcelona,2,ALO,63.0,4.0,SOFT,87.421,88.29614363461944,0.8751436346194319
2022,6,Barcelona,2,ALO,64.0,4.0,SOFT,88.493,88.302889617974,0.19011038202599428
2022,6,Barcelona,2,ALO,65.0,4.0,SOFT,88.27,88.35788601515374,0.08788601515374794
2022,6,Barcelona,2,BOT,5.0,1.0,SOFT,88.999,89.40068799493207,0.4016879949320713
