Year,RoundNumber,Location,Location_Encoded,Driver,LapNumber,Stint,Compound,Actual,Predicted,Error
2022,6,Barcelona,2,ALB,5.0,1.0,SOFT,90.495,91.02632577348433,0.531325773484326
2022,6,Barcelona,2,ALB,6.0,1.0,SOFT,91.25,90.95205168406044,0.29794831593956905
2022,6,Barcelona,2,ALB,20.0,2.0,MEDIUM,91.912,91.19534197613514,0.716658023864861
2022,6,Barcelona,2,ALB,21.0,2.0,MEDIUM,92.144,91.55812904649213,0.5858709535078755
2022,6,Barcelona,2,ALB,22.0,2.0,MEDIUM,92.098,91.76866166691616,0.329338333083838
2022,6,Barcelona,2,ALB,23.0,2.0,MEDIUM,91.525,91.73168497324504,0.2066849732450292
2022,6,Barcelona,2,ALB,24.0,2.0,MEDIUM,91.595,91.62803670165715,0.03303670165715773
2022,6,Barcelona,2,ALB,31.0,3.0,SOFT,90.928,90.52093963333354,0.40706036666645184
2022,6,Barcelona,2,ALB,32.0,3.0,SOFT,90.177,90.91734402907848,0.7403440290784699
2022,6,Barcelona,2,ALB,33.0,3.0,SOFT,91.53,90.80989591599341,0.7201040840065971
2022,6,Barcelona,2,ALB,34.0,3.0,SOFT,90.018,91.30089262737033,1.282892627370333
2022,6,Barcelona,2,ALB,35.0,3.0,SOFT,89.893,90.90966037422888,1.0166603742288811
2022,6,Barcelona,2,ALB,43.0,3.0,SOFT,91.617,91.35889065142582,0.25810934857418677
2022,6,Barcelona,2,ALB,44.0,3.0,SOFT,90.755,91.45704471864336,0.7020447186433628
2022,6,Barcelona,2,ALB,51.0,4.0,MEDIUM,89.287,90.06222662531931,0.7752266253193052
2022,6,Barcelona,2,ALB,52.0,4.0,MEDIUM,90.629,89.97316076478701,0.6558392352129909
2022,6,Barcelona,2,ALB,53.0,4.0,MEDIUM,89.561,90.50295981543074,0.9419598154307328
2022,6,Barcelona,2,ALB,60.0,5.0,SOFT,90.057,89.54326295265204,0.5137370473479551
2022,6,Barcelona,2,ALB,61.0,5.0,SOFT,89.229,89.98499376494584,0.7559937649458426
2022,6,Barcelona,2,ALO,5.0,1.0,SOFT,89.174,90.50803271874332,1.3340327187433156
2022,6,Barcelona,2,ALO,6.0,1.0,SOFT,90.389,90.16101820581406,0.22798179418593634
2022,6,Barcelona,2,ALO,16.0,2.0,MEDIUM,89.74,90.06416761703277,0.32416761703276453
2022,6,Barcelona,2,ALO,17.0,2.0,MEDIUM,89.62,90.1227533187093,0.5027533187092886
2022,6,Barcelona,2,ALO,18.0,2.0,MEDIUM,89.783,90.0833486783732,0.30034867837319495
2022,6,Barcelona,2,ALO,19.0,2.0,MEDIUM,89.681,90.14971000723935,0.46871000723935013
2022,6,Barcelona,2,ALO,20.0,2.0,MEDIUM,89.82,90.12460787869657,0.3046078786965785
2022,6,Barcelona,2,ALO,21.0,2.0,MEDIUM,89.888,90.0350398731195,0.14703987311949981
2022,6,Barcelona,2,ALO,22.0,2.0,MEDIUM,89.737,89.96755031709478,0.23055031709477453
2022,6,Barcelona,2,ALO,23.0,2.0,MEDIUM,89.763,89.95444093317055,0.19144093317053437
2022,6,Barcelona,2,ALO,24.0,2.0,MEDIUM,89.738,89.91284177049519,0.17484177049519029
2022,6,Barcelona,2,ALO,30.0,2.0,MEDIUM,89.996,89.8978751318325,0.09812486816748564
2022,6,Barcelona,2,ALO,37.0,3.0,SOFT,88.053,89.07738048460928,1.024380484609279
2022,6,Barcelona,2,ALO,38.0,3.0,SOFT,88.089,88.89751868163466,0.8085186816346703
2022,6,Barcelona,2,ALO,39.0,3.0,SOFT,88.234,88.96915480342003,0.7351548034200364
2022,6,Barcelona,2,ALO,40.0,3.0,SOFT,88.445,88.93940792489188,0.494407924891893
2022,6,Barcelona,2,ALO,41.0,3.0,SOFT,88.339,88.97441778124683,0.6354177812468341
2022,6,Barcelona,2,ALO,42.0,3.0,SOFT,88.995,88.90985524115167,0.08514475884832884
2022,6,Barcelona,2,ALO,43.0,3.0,SOFT,87.271,89.34102369438868,2.0700236943886794
2022,6,Barcelona,2,ALO,44.0,3.0,SOFT,87.764,88.75966459812102,0.9956645981210188
2022,6,Barcelona,2,ALO,45.0,3.0,SOFT,87.693,88.65808468065303,0.9650846806530413
2022,6,Barcelona,2,ALO,46.0,3.0,SOFT,87.715,88.49391454099033,0.7789145409903262
2022,6,Barcelona,2,ALO,47.0,3.0,SOFT,87.855,88.53808706331199,0.6830870633119854
2022,6,Barcelona,2,ALO,48.0,3.0,SOFT,87.849,88.66358887548365,0.8145888754836529
2022,6,Barcelona,2,ALO,49.0,3.0,SOFT,88.119,88.46819476078367,0.3491947607836706
2022,6,Barcelona,2,ALO,50.0,3.0,SOFT,88.296,88.57404701826131,0.27804701826129957
2022,6,Barcelona,2,ALO,51.0,3.0,SOFT,88.039,88.71037890063424,0.6713789006342417
2022,6,Barcelona,2,ALO,52.0,3.0,SOFT,88.164,88.61785021670599,0.4538502167059927
2022,6,Barcelona,2,ALO,59.0,4.0,SOFT,86.611,87.78218448785597,1.171184487855966
2022,6,Barcelona,2,ALO,60.0,4.0,SOFT,86.926,87.75242229649805,0.8264222964980528
2022,6,Barcelona,2,ALO,61.0,4.0,SOFT,87.384,87.7875920893663,0.4035920893663012
2022,6,Barcelona,2,ALO,62.0,4.0,SOFT,87.719,87.95047990717936,0.23147990717935613
2022,6,Barcelona,2,ALO,63.0,4.0,SOFT,87.421,88.29442462959774,0.87342462959774
2022,6,Barcelona,2,ALO,64.0,4.0,SOFT,88.493,88.22121204377957,0.2717879562204174
2022,6,Barcelona,2,ALO,65.0,4.0,SOFT,88.27,88.34557900835505,0.07557900835505585
2022,6,Barcelona,2,BOT,5.0,1.0,SOFT,88.999,89.30855324004943,0.3095532400494406
2022,6,Barcelona,2,BOT,6.0,1.0,SOFT,88.984,89.56736919308918,0.5833691930891817
2022,6,Barcelona,2,BOT,13.0,1.0,SOFT,89.267,89.91058015025943,0.6435801502594436
2022,6,Barcelona,2,BOT,19.0,2.0,MEDIUM,88.389,88.7886779838693,0.39967798386931236
2022,6,Barcelona,2,BOT,20.0,2.0,MEDIUM,88.55,88.79387568955772,0.2438756895577205
2022,6,Barcelona,2,BOT,21.0,2.0,MEDIUM,88.613,88.87776376345076,0.26476376345076347
2022,6,Barcelona,2,BOT,22.0,2.0,MEDIUM,88.189,88.9147512979182,0.7257512979182119
2022,6,Barcelona,2,BOT,23.0,2.0,MEDIUM,88.803,88.79465477938653,0.008345220613459547
2022,6,Barcelona,2,BOT,24.0,2.0,MEDIUM,88.563,88.95684946485217,0.393849464852163
2022,6,Barcelona,2,BOT,25.0,2.0,MEDIUM,88.699,88.976729071464,0.27772907146400994
2022,6,Barcelona,2,BOT,26.0,2.0,MEDIUM,88.576,89.00315561763212,0.42715561763212373
2022,6,Barcelona,2,BOT,27.0,2.0,MEDIUM,88.508,89.00518503919737,0.497185039197382
2022,6,Barcelona,2,BOT,28.0,2.0,MEDIUM,89.057,88.89918717837506,0.15781282162494464
2022,6,Barcelona,2,BOT,29.0,2.0,MEDIUM,88.695,89.03656505802793,0.3415650580279368
2022,6,Barcelona,2,BOT,30.0,2.0,MEDIUM,88.692,88.98731631879924,0.29531631879924614
2022,6,Barcelona,2,BOT,31.0,2.0,MEDIUM,89.25,89.0134370091758,0.23656299082419546
2022,6,Barcelona,2,BOT,32.0,2.0,MEDIUM,88.803,89.17700638436261,0.37400638436261996
2022,6,Barcelona,2,BOT,33.0,2.0,MEDIUM,89.322,89.03180021744336,0.29019978255663703
2022,6,Barcelona,2,BOT,40.0,3.0,MEDIUM,87.449,88.03296394171127,0.5839639417112693
2022,6,Barcelona,2,BOT,41.0,3.0,MEDIUM,88.315,88.07842380779657,0.2365761922034335
2022,6,Barcelona,2,BOT,42.0,3.0,MEDIUM,87.646,88.42927995034323,0.783279950343229
2022,6,Barcelona,2,BOT,43.0,3.0,MEDIUM,88.174,88.42834427249112,0.2543442724911169
2022,6,Barcelona,2,BOT,44.0,3.0,MEDIUM,87.999,88.500804972615,0.5018049726149998
2022,6,Barcelona,2,BOT,45.0,3.0,MEDIUM,88.259,88.32410257204677,0.06510257204677405
2022,6,Barcelona,2,BOT,46.0,3.0,MEDIUM,88.512,88.4225466272914,0.08945337270860307
2022,6,Barcelona,2,BOT,47.0,3.0,MEDIUM,88.374,88.5227636757015,0.14876367570150212
2022,6,Barcelona,2,BOT,48.0,3.0,MEDIUM,88.364,88.54026386216597,0.1762638621659714
2022,6,Barcelona,2,BOT,49.0,3.0,MEDIUM,88.448,88.53745528911858,0.0894552891185963
2022,6,Barcelona,2,BOT,50.0,3.0,MEDIUM,88.275,88.59655077999992,0.32155077999991066
2022,6,Barcelona,2,BOT,51.0,3.0,MEDIUM,88.13,88.46769045450556,0.3376904545055684
2022,6,Barcelona,2,BOT,52.0,3.0,MEDIUM,88.684,88.389905295783,0.29409470421699946
2022,6,Barcelona,2,BOT,53.0,3.0,MEDIUM,89.717,88.65160509454613,1.0653949054538743
2022,6,Barcelona,2,BOT,54.0,3.0,MEDIUM,87.948,89.12632650926516,1.1783265092651598
2022,6,Barcelona,2,BOT,55.0,3.0,MEDIUM,87.842,88.67928246049836,0.8372824604983614
2022,6,Barcelona,2,BOT,56.0,3.0,MEDIUM,87.657,88.37890697585524,0.7219069758552507
2022,6,Barcelona,2,BOT,57.0,3.0,MEDIUM,88.149,88.12490249376978,0.02409750623022633
2022,6,Barcelona,2,BOT,58.0,3.0,MEDIUM,90.459,88.3097260696442,2.149273930355799
2022,6,Barcelona,2,BOT,59.0,3.0,MEDIUM,88.471,89.36336958735262,0.8923695873526256
2022,6,Barcelona,2,BOT,60.0,3.0,MEDIUM,88.522,89.05069545227559,0.5286954522755876
2022,6,Barcelona,2,BOT,61.0,3.0,MEDIUM,88.748,88.91207303222727,0.16407303222726893
2022,6,Barcelona,2,BOT,62.0,3.0,MEDIUM,89.055,88.76603281048301,0.28896718951699174
2022,6,Barcelona,2,BOT,63.0,3.0,MEDIUM,88.844,89.01390206087908,0.1699020608790876
2022,6,Barcelona,2,BOT,64.0,3.0,MEDIUM,89.289,89.00011800319241,0.28888199680759485
2022,6,Barcelona,2,BOT,65.0,3.0,MEDIUM,89.97,89.19566429620217,0.7743357037978277
2022,6,Barcelona,2,BOT,66.0,3.0,MEDIUM,90.378,89.54065728634663,0.8373427136533669
2022,6,Barcelona,2,GAS,5.0,1.0,SOFT,89.981,90.24020192929318,0.25920192929318875
2022,6,Barcelona,2,GAS,6.0,1.0,SOFT,89.945,90.26525941401762,0.3202594140176298
2022,6,Barcelona,2,GAS,16.0,2.0,MEDIUM,89.868,89.98619878127167,0.11819878127167543
2022,6,Barcelona,2,GAS,17.0,2.0,MEDIUM,89.961,90.10445601335164,0.14345601335164476
2022,6,Barcelona,2,GAS,18.0,2.0,MEDIUM,90.089,90.09609317983215,0.007093179832150243
2022,6,Barcelona,2,GAS,19.0,2.0,MEDIUM,90.447,90.3018411065218,0.14515889347819125
2022,6,Barcelona,2,GAS,20.0,2.0,MEDIUM,90.364,90.32768478326142,0.0363152167385809
2022,6,Barcelona,2,GAS,21.0,2.0,MEDIUM,90.531,90.48954283008555,0.041457169914458164
2022,6,Barcelona,2,GAS,22.0,2.0,MEDIUM,91.754,90.56280741727758,1.1911925827224186
2022,6,Barcelona,2,GAS,23.0,2.0,MEDIUM,90.36,91.01047848733462,0.6504784873346201
2022,6,Barcelona,2,GAS,24.0,2.0,MEDIUM,90.532,90.74347494511542,0.21147494511542597
2022,6,Barcelona,2,GAS,25.0,2.0,MEDIUM,90.252,90.60078294823569,0.34878294823569117
2022,6,Barcelona,2,GAS,26.0,2.0,MEDIUM,90.82,90.46370505324367,0.3562949467563273
2022,6,Barcelona,2,GAS,27.0,2.0,MEDIUM,91.82,90.5311773525245,1.2888226474754974
2022,6,Barcelona,2,GAS,28.0,2.0,MEDIUM,90.191,91.0286665945003,0.8376665945002956
2022,6,Barcelona,2,GAS,35.0,3.0,SOFT,88.136,89.22610001594732,1.0901000159473342
2022,6,Barcelona,2,GAS,36.0,3.0,SOFT,88.448,89.17849008642975,0.7304900864297565
2022,6,Barcelona,2,GAS,37.0,3.0,SOFT,88.327,89.12776359150364,0.8007635915036382
2022,6,Barcelona,2,GAS,38.0,3.0,SOFT,88.808,89.06041164752347,0.25241164752345296
2022,6,Barcelona,2,GAS,39.0,3.0,SOFT,88.632,89.41929818023102,0.7872981802310254
2022,6,Barcelona,2,GAS,40.0,3.0,SOFT,88.617,89.31514837718099,0.6981483771809868
2022,6,Barcelona,2,GAS,41.0,3.0,SOFT,90.683,89.312647520313,1.3703524796869981
2022,6,Barcelona,2,GAS,42.0,3.0,SOFT,88.748,90.13280194119046,1.3848019411904573
2022,6,Barcelona,2,GAS,43.0,3.0,SOFT,88.986,89.72486117854693,0.7388611785469328
2022,6,Barcelona,2,GAS,44.0,3.0,SOFT,88.985,89.51659688865907,0.5315968886590717
2022,6,Barcelona,2,GAS,45.0,3.0,SOFT,90.422,89.52919283134352,0.8928071686564718
2022,6,Barcelona,2,GAS,52.0,4.0,SOFT,86.998,88.30104173583385,1.3030417358338375
2022,6,Barcelona,2,GAS,53.0,4.0,SOFT,87.009,88.30127236540437,1.292272365404377
2022,6,Barcelona,2,GAS,54.0,4.0,SOFT,87.275,88.22143977405878,0.9464397740587767
2022,6,Barcelona,2,GAS,55.0,4.0,SOFT,89.596,88.4052541069935,1.190745893006503
2022,6,Barcelona,2,GAS,56.0,4.0,SOFT,89.681,89.43764422407054,0.2433557759294585
2022,6,Barcelona,2,GAS,57.0,4.0,SOFT,88.002,89.83145506661641,1.8294550666164224
2022,6,Barcelona,2,GAS,58.0,4.0,SOFT,87.911,89.28823469985585,1.377234699855842
2022,6,Barcelona,2,GAS,59.0,4.0,SOFT,88.154,88.94748905571127,0.7934890557112819
2022,6,Barcelona,2,GAS,60.0,4.0,SOFT,88.3,89.02906177390454,0.7290617739045439
2022,6,Barcelona,2,GAS,61.0,4.0,SOFT,88.145,89.00102873504507,0.8560287350450659
2022,6,Barcelona,2,GAS,62.0,4.0,SOFT,88.352,88.99549238725966,0.6434923872596545
2022,6,Barcelona,2,GAS,63.0,4.0,SOFT,88.873,89.06477883791882,0.19177883791881922
2022,6,Barcelona,2,GAS,64.0,4.0,SOFT,89.664,89.28381116725025,0.38018883274974963
2022,6,Barcelona,2,GAS,65.0,4.0,SOFT,88.352,89.42928857043553,1.0772885704355275
2022,6,Barcelona,2,HAM,17.0,2.0,SOFT,89.873,90.37622060663911,0.5032206066391061
2022,6,Barcelona,2,HAM,18.0,2.0,SOFT,90.181,90.547885905681,0.36688590568100077
2022,6,Barcelona,2,HAM,19.0,2.0,SOFT,90.07,90.81362081147256,0.7436208114725653
2022,6,Barcelona,2,HAM,20.0,2.0,SOFT,90.443,90.8113190058676,0.3683190058676031
2022,6,Barcelona,2,HAM,21.0,2.0,SOFT,90.48,90.9292828954149,0.4492828954148935
2022,6,Barcelona,2,HAM,28.0,3.0,MEDIUM,86.99,88.53587471559511,1.5458747155951256
2022,6,Barcelona,2,HAM,29.0,3.0,MEDIUM,87.619,88.36727840091753,0.7482784009175345
2022,6,Barcelona,2,HAM,30.0,3.0,MEDIUM,86.711,88.51319257925822,1.8021925792582167
2022,6,Barcelona,2,HAM,31.0,3.0,MEDIUM,87.364,88.21196334774828,0.8479633477482833
2022,6,Barcelona,2,HAM,32.0,3.0,MEDIUM,86.329,88.15233166929912,1.823331669299118
2022,6,Barcelona,2,HAM,33.0,3.0,MEDIUM,86.895,87.83491670840102,0.9399167084010263
2022,6,Barcelona,2,HAM,34.0,3.0,MEDIUM,86.697,87.79570971977097,1.0987097197709708
2022,6,Barcelona,2,HAM,39.0,3.0,MEDIUM,86.82,88.03617728697205,1.2161772869720608
2022,6,Barcelona,2,HAM,40.0,3.0,MEDIUM,87.34,87.9743585829553,0.6343585829553011
2022,6,Barcelona,2,HAM,45.0,3.0,MEDIUM,87.458,88.2681524992118,0.8101524992117946
2022,6,Barcelona,2,HAM,46.0,3.0,MEDIUM,87.73,88.18571427092589,0.45571427092588096
2022,6,Barcelona,2,HAM,47.0,3.0,MEDIUM,87.662,88.27060340585044,0.6086034058504377
