Driver,MAE,Laps
VER,0.22891215737179363,2829
RUS,0.27785018603967626,2822
NOR,0.2831013280983406,2804
LEC,0.28950027364993025,2704
ANT,0.29626335535987997,712
PIA,0.3009630000737287,2294
SAI,0.3087834509906943,2698
PER,0.30957124168741584,1756
ALO,0.3203792257974259,2702
LAW,0.32173378103006883,1089
HAM,0.3228686986644149,2713
OCO,0.32819446199367114,2676
DEV,0.33017072859570645,363
BEA,0.33852604200593983,859
ALB,0.3393508211802525,2335
VET,0.34500196081872514,413
HAD,0.3461427064993462,814
STR,0.35215236486797913,2558
BOR,0.35329414205550574,758
TSU,0.3590074261564493,2530
GAS,0.3619118783988147,2515
HUL,0.3893767591873928,2135
ZHO,0.39314726855507415,1801
MAG,0.4053746330477978,1735
COL,0.4087593229228032,895
BOT,0.4139086765284833,1867
RIC,0.4274649919408678,1248
DOO,0.4332285451546252,171
SAR,0.44356739038800014,1051
MSC,0.46380655541553956,383
LAT,0.4909512797982579,387
