Feature,Importance
TrackTemp,0.10724069
Prev_Delta,0.093051955
Pressure,0.062289745
WindSpeed,0.045788415
Grip_Aero_Balance,0.032407623
Stint,0.030610733
Track_Evolution,0.030289523
Mean_Brake_Point_Norm,0.028007606
Min_Pressure_Front_PSI,0.024472317
Lag_2,0.023116643
Std_Brake_Fraction,0.022455
Lap_Damage,0.021725524
Gap_To_Car_Ahead,0.021716403
AirTemp,0.021194844
Humidity,0.021064097
TyreLife,0.020294206
Aero_Loss,0.018977458
Tyre_Compound_Interaction,0.01885293
FuelLoad,0.01878115
Rolling_Avg_3,0.016811823
Asphalt_Grip_1_5,0.01582971
Std_Speed_Variability,0.0153276175
P_1,0.01508865
Circuit_Length_KM,0.013674536
Std_Throttle_Integral_Norm,0.013382931
Prev_LapTime,0.011933799
Wear_Severity_Index,0.011720398
Mean_Throttle_Integral_Norm,0.01169927
Position,0.011497737
Total_Min_Pressure,0.010426362
Cumulative_Field_Dist_KM,0.010076113
Dirty_Air_Fraction,0.00896182
LapNumber,0.008777926
Min_Pressure_Rear_PSI,0.008244188
DRS_Fraction,0.008185229
Mean_Apex_Speed_Ratio,0.00797642
Tyre_Stress_1_5,0.007928448
Compound_Int,0.007862912
Std_Throttle_On_Dist_Norm,0.007821673
Std_Brake_Point_Norm,0.007520634
WindDirection,0.0072129834
LatOffset_Std,0.0071762996
Energy_Lap,0.0071646166
Accumulated_Tyre_Wear,0.006354649
Asphalt_Abrasion_1_5,0.006317651
Traction_1_5,0.0055041327
Downforce_1_5,0.00548035
Location_Encoded,0.005335458
Team_Encoded,0.0051362147
Mean_Speed_Variability,0.00501181
P_0,0.0046858564
Style_Entropy,0.0045402
Track_Evolution_1_5,0.0044593527
Mean_Brake_Fraction,0.0044424604
Mean_Throttle_On_Dist_Norm,0.0042359205
P_2,0.004206651
Track_Flow_Type,0.0041930424
LatOffset_Mean,0.0039216685
Std_Apex_Speed_Ratio,0.0033018955
Pressure_Delta,0.0031799912
Driver_Encoded,0.0029283548
Year,0.0021253147
Lateral_1_5,0.0
Braking_1_5,0.0
Style_Cluster_ID,0.0
