Feature,Importance
TrackTemp,0.104048386
Prev_Delta,0.09857657
Year,0.05182469
WindSpeed,0.042181782
Pressure,0.03846755
Asphalt_Grip_1_5,0.037398815
AirTemp,0.036535576
Lap_Damage,0.024889378
Gap_To_Car_Ahead,0.024575334
LatOffset_Mean,0.024317417
TyreLife,0.023908678
Stint,0.022947473
Grip_Aero_Balance,0.022611687
Tyre_Compound_Interaction,0.021921005
Lag_2,0.021510094
Min_Pressure_Front_PSI,0.021285135
Tyre_Stress_1_5,0.017867481
Rolling_Avg_3,0.017738465
Driver_Encoded,0.017123321
Mean_Brake_Point_Norm,0.017110128
Humidity,0.015883729
Std_Brake_Fraction,0.015593322
Mean_Throttle_Integral_Norm,0.015542549
Circuit_Length_KM,0.014984865
Track_Evolution,0.012290916
FuelLoad,0.0121594565
Std_Throttle_On_Dist_Norm,0.01188759
Wear_Severity_Index,0.011842638
WindDirection,0.011761684
Cumulative_Field_Dist_KM,0.011574412
Std_Throttle_Integral_Norm,0.011308098
Position,0.010903497
Compound_Int,0.010651311
Dirty_Air_Fraction,0.010043009
Accumulated_Tyre_Wear,0.009334215
LapNumber,0.009081968
Track_Flow_Type,0.009064042
Prev_LapTime,0.009046012
DRS_Fraction,0.00799394
Total_Min_Pressure,0.00723603
Energy_Lap,0.0062447796
Std_Speed_Variability,0.006182607
Asphalt_Abrasion_1_5,0.0059395535
Mean_Brake_Fraction,0.005849502
Mean_Apex_Speed_Ratio,0.005780255
Downforce_1_5,0.0057256753
Location_Encoded,0.005578663
Mean_Speed_Variability,0.0055678557
Aero_Loss,0.0048978245
Min_Pressure_Rear_PSI,0.00441036
Pressure_Delta,0.00411676
Mean_Throttle_On_Dist_Norm,0.0040694876
P_0_k2,0.0038579805
Team_Encoded,0.0038466258
Std_Brake_Point_Norm,0.0035107902
Track_Evolution_1_5,0.0034225315
Lateral_1_5,0.0025285287
Std_Apex_Speed_Ratio,0.0024044774
LatOffset_Std,0.0010435194
Style_Cluster_ID_k2,0.0
Braking_1_5,0.0
Traction_1_5,0.0
P_1_k2,0.0
Style_Entropy_k2,0.0
