Year,RoundNumber,Location,Location_Encoded,Driver,LapNumber,Stint,Compound,Actual,Predicted,Error
2022,6,Barcelona,2,ALB,5.0,1.0,SOFT,90.495,90.45661086642743,0.038389133572579226
2022,6,Barcelona,2,ALB,6.0,1.0,SOFT,91.25,90.7318140667677,0.5181859332323029
2022,6,Barcelona,2,ALB,20.0,2.0,MEDIUM,91.912,91.461379999578,0.45062000042200623
2022,6,Barcelona,2,ALB,21.0,2.0,MEDIUM,92.144,91.91854738163576,0.225452618364244
2022,6,Barcelona,2,ALB,22.0,2.0,MEDIUM,92.098,92.19760164493323,0.09960164493323012
2022,6,Barcelona,2,ALB,23.0,2.0,MEDIUM,91.525,92.26636941242218,0.7413694124221735
2022,6,Barcelona,2,ALB,24.0,2.0,MEDIUM,91.595,91.66531361043454,0.07031361043453907
2022,6,Barcelona,2,ALB,31.0,3.0,SOFT,90.928,90.01671605998277,0.9112839400172278
2022,6,Barcelona,2,ALB,32.0,3.0,SOFT,90.177,90.23143145132065,0.05443145132063876
2022,6,Barcelona,2,ALB,33.0,3.0,SOFT,91.53,90.27346531939507,1.2565346806049291
2022,6,Barcelona,2,ALB,34.0,3.0,SOFT,90.018,90.91023698329926,0.8922369832992558
2022,6,Barcelona,2,ALB,35.0,3.0,SOFT,89.893,90.12465778070688,0.23165778070688248
2022,6,Barcelona,2,ALB,43.0,3.0,SOFT,91.617,91.4046914485395,0.21230855146050942
2022,6,Barcelona,2,ALB,44.0,3.0,SOFT,90.755,91.71262782198191,0.9576278219819159
2022,6,Barcelona,2,ALB,51.0,4.0,MEDIUM,89.287,89.62620908790826,0.33920908790825877
2022,6,Barcelona,2,ALB,52.0,4.0,MEDIUM,90.629,89.41756780397893,1.2114321960210788
2022,6,Barcelona,2,ALB,53.0,4.0,MEDIUM,89.561,89.91577874803544,0.35477874803542875
2022,6,Barcelona,2,ALB,60.0,5.0,SOFT,90.057,88.90725438547135,1.1497456145286549
