Feature,Importance
Prev_Delta,0.1289665
TrackTemp,0.09236435
Mean_Throttle_On_Dist_Norm,0.07077284
Asphalt_Grip_1_5,0.05167843
P_2,0.051095117
Grip_Aero_Balance,0.042607326
Pressure,0.04198209
Stint,0.031254053
Std_Brake_Fraction,0.031006461
TyreLife,0.030865371
Lap_Damage,0.027970282
Mean_Brake_Point_Norm,0.0273479
Gap_To_Car_Ahead,0.023354178
Tyre_Stress_1_5,0.021461397
P_1,0.020717984
Min_Pressure_Front_PSI,0.016879024
Humidity,0.01676504
Mean_Speed_Variability,0.01641903
Driver_Encoded,0.015535411
Position,0.0154611
WindSpeed,0.015112611
Prev_LapTime,0.013794367
Accumulated_Tyre_Wear,0.01333043
Compound_Int,0.013180388
AirTemp,0.013094304
Track_Evolution_1_5,0.012496314
LapNumber,0.011676146
Track_Evolution,0.0109577
Std_Speed_Variability,0.010500216
Pressure_Delta,0.0104500875
WindDirection,0.01002878
Std_Throttle_On_Dist_Norm,0.009064815
Mean_Brake_Fraction,0.009062436
DRS_Fraction,0.008500121
Asphalt_Abrasion_1_5,0.0081488835
Mean_Throttle_Integral_Norm,0.0078004845
P_0,0.007571753
Location_Encoded,0.0071384353
LatOffset_Mean,0.0063496586
Downforce_1_5,0.006280027
Energy_Lap,0.0060403096
Braking_1_5,0.005338944
Style_Entropy,0.0044135572
Mean_Apex_Speed_Ratio,0.003108059
Team_Encoded,0.002057282
Std_Apex_Speed_Ratio,0.0
Traction_1_5,0.0
Year,0.0
