Feature,Importance
Asphalt_Grip_1_5,0.096350625
Prev_Delta,0.08344168
Pressure,0.053641204
WindSpeed,0.04249567
Traction_1_5,0.040126864
TrackTemp,0.03985832
Tyre_Compound_Interaction,0.032686356
Track_Flow_Type,0.031870358
Track_Evolution_1_5,0.03048809
Std_Brake_Point_Norm,0.0274507
Energy_Lap,0.027345842
Lap_Damage,0.025985777
Std_Brake_Fraction,0.020830639
Rolling_Avg_3,0.020599991
Std_Apex_Speed_Ratio,0.017660582
Mean_Brake_Fraction,0.016496863
Track_Evolution,0.015945416
Grip_Aero_Balance,0.015880475
Circuit_Length_KM,0.01578479
Aero_Loss,0.015025109
Humidity,0.014639922
Lag_2,0.014615751
Total_Min_Pressure,0.014463062
Dirty_Air_Fraction,0.013046517
Mean_Throttle_Integral_Norm,0.0127887
Gap_To_Car_Ahead,0.012582297
Compound_Int,0.012426296
P_2,0.012063602
DRS_Fraction,0.011847629
LapNumber,0.011449828
Position,0.011209505
Accumulated_Tyre_Wear,0.011032109
Driver_Encoded,0.0109734535
FuelLoad,0.010907864
Std_Throttle_Integral_Norm,0.010512768
TyreLife,0.010368456
Prev_LapTime,0.009827573
Style_Entropy,0.009149776
Mean_Speed_Variability,0.008969221
Min_Pressure_Front_PSI,0.008809361
Cumulative_Field_Dist_KM,0.008064099
Style_Cluster_ID,0.00799153
Mean_Brake_Point_Norm,0.007866933
Tyre_Stress_1_5,0.007858322
Asphalt_Abrasion_1_5,0.0074389013
Pressure_Delta,0.0070744287
Std_Speed_Variability,0.0069755046
WindDirection,0.0064963116
AirTemp,0.00631647
Min_Pressure_Rear_PSI,0.005876029
Stint,0.005351475
Lateral_1_5,0.004855689
LatOffset_Mean,0.0045077647
Std_Throttle_On_Dist_Norm,0.0041268882
LatOffset_Std,0.0040358086
Location_Encoded,0.0035147984
P_1,0.0
Year,0.0
Braking_1_5,0.0
P_0,0.0
Downforce_1_5,0.0
Wear_Severity_Index,0.0
Mean_Apex_Speed_Ratio,0.0
Team_Encoded,0.0
Mean_Throttle_On_Dist_Norm,0.0
