Feature,Mean_Abs_SHAP
Prev_Delta,0.09327211705947408
LapNumber,0.016517122595789007
Position,0.015180392124004297
Asphalt_Abrasion_1_5,0.010013292733707565
Prev_LapTime,0.009931819101837913
FuelLoad,0.008951630840735103
Humidity,0.006446870132912251
Cumulative_Field_Dist_KM,0.005469980466571702
Lap_Damage,0.0037947598567401306
Tyre_Compound_Interaction,0.0030087241731292136
Rolling_Avg_3,0.0026582481353405077
Energy_Lap,0.0025762595957624125
Lag_2,0.0024995638657086374
Track_Evolution,0.002206358055700895
TyreLife,0.0021694429487489875
Stint,0.001770791107898776
Tyre_Stress_1_5,0.0015770682023640203
TrackTemp,0.0015190661275591513
Wear_Severity_Index,0.0014854069301013975
AirTemp,0.0013751475512042868
Pressure,0.001374359311173109
Min_Pressure_Front_PSI,0.0011403952367997228
Mean_Speed_Variability,0.0011238832497413676
Location_Encoded,0.000977987540240061
Circuit_Length_KM,0.000897554397450685
Downforce_1_5,0.0008464186282804122
Compound_Int,0.0006672893844405093
Std_Brake_Point_Norm,0.0005789933270185844
Std_Brake_Fraction,0.0005787462848218888
Std_Throttle_On_Dist_Norm,0.0005154170179996151
DRS_Fraction,0.00043711893835053384
Total_Min_Pressure,0.0004261312080470154
P_1,0.00039847128659828597
WindSpeed,0.0003950585902638959
Mean_Brake_Point_Norm,0.0003754386232312153
Accumulated_Tyre_Wear,0.00037060071597398036
Std_Throttle_Integral_Norm,0.00036519324441219907
Gap_To_Car_Ahead,0.0003503179224414848
Mean_Brake_Fraction,0.00034639242585712745
Grip_Aero_Balance,0.0003219102031093081
Mean_Throttle_On_Dist_Norm,0.0003186758255215487
Track_Flow_Type,0.00030421996244651045
Traction_1_5,0.00029421414520391687
Style_Entropy,0.0002831832864197195
LatOffset_Mean,0.00027650083789247437
Mean_Apex_Speed_Ratio,0.0002747834379108361
P_2,0.00026567777285712885
Mean_Throttle_Integral_Norm,0.00025759248088454124
Min_Pressure_Rear_PSI,0.0002571585053231745
Std_Speed_Variability,0.00023695583570684228
P_0,0.00022764826755873805
WindDirection,0.00021418614577074988
Dirty_Air_Fraction,0.00021009090397466695
Aero_Loss,0.00019819762483170634
LatOffset_Std,0.0001902235389252518
Std_Apex_Speed_Ratio,0.00018184391940777612
Braking_1_5,0.00015053781468123232
Driver_Encoded,0.00014108058958817778
Asphalt_Grip_1_5,0.00014029596044935066
Year,0.00013326524066769842
Pressure_Delta,9.228501911217974e-05
Team_Encoded,7.286623175277751e-05
Track_Evolution_1_5,5.7194947048605304e-05
Lateral_1_5,1.3013079887248493e-05
Style_Cluster_ID,4.118958941773756e-06
