Model,Features,MAE,RMSE,R2,MAPE,Time_s
RandomForest,With clustering,0.3349047397716708,0.5550694642726627,0.9972561349746515,0.3820533501035166,293.54936385154724
RandomForest,Without clustering,0.33448393839993623,0.5543388089806595,0.9972633538909385,0.38146664242871703,163.40136003494263
RandomForest,Delta (with - without),0.00042080137173455823,0.0007306552920032239,-7.218916286966248e-06,0.0005867076747995692,130.14800381660461
XGBoost,With clustering,0.3367907762666067,0.564042617472817,0.9971667042524051,0.3844758863299136,35.28387212753296
XGBoost,Without clustering,0.3360063765666527,0.5630034702746194,0.9971771343126751,0.38338617683280407,28.952139139175415
XGBoost,Delta (with - without),0.0007843996999539748,0.001039147198197643,-1.0430060270016916e-05,0.0010897094971095145,6.331732988357544
LightGBM,With clustering,0.33349768778290184,0.5548129310205115,0.9972586706211128,0.3804890133226286,48.78522086143494
LightGBM,Without clustering,0.33334476099181587,0.5545758870793528,0.9972610125878073,0.3802861355120189,43.71565008163452
LightGBM,Delta (with - without),0.00015292679108597218,0.00023704394115875438,-2.3419666944635154e-06,0.0002028778106096807,5.069570779800415
CatBoost,With clustering,0.3380013796070202,0.5607957781471661,0.9971992293794035,0.3860657789168973,37.707740783691406
CatBoost,Without clustering,0.3375386949932544,0.5596285742659857,0.9972108759304321,0.3855028959647006,28.42410683631897
CatBoost,Delta (with - without),0.00046268461376580694,0.001167203881180412,-1.1646551028587915e-05,0.0005628829521966972,9.283633947372437
Ridge,With clustering,1.9242802900387275,11.01183327978734,-0.07990941183625888,2.0531562355001856,28.749701738357544
Ridge,Without clustering,1.8368513430994091,9.95002697946895,0.11830863416154092,1.9720900746130487,9.02103590965271
Ridge,Delta (with - without),0.08742894693931835,1.0618063003183895,-0.1982180459977998,0.0810661608871368,19.728665828704834
