Driver,MAE,Laps
VER,0.22751022233551949,2829
RUS,0.2747533488479652,2822
NOR,0.2780242227312022,2804
LEC,0.28866711395731975,2704
ANT,0.2952052134458666,712
PIA,0.2997960330913872,2294
SAI,0.3015022074881707,2698
PER,0.30771491437381443,1756
ALO,0.3185957403778624,2702
LAW,0.32053628958113345,1089
HAM,0.3238353901338731,2713
DEV,0.3272607003230384,363
OCO,0.3275149572457133,2676
ALB,0.335273129363964,2335
BEA,0.3354893556597925,859
VET,0.3405737617735255,413
HAD,0.3448360790243794,814
STR,0.3491742932636554,2558
BOR,0.3493445064434986,758
TSU,0.35244930209044784,2530
GAS,0.3549091488322241,2515
HUL,0.3887526115460936,2135
ZHO,0.392605071237228,1801
MAG,0.4022696694573672,1735
COL,0.40505189515475454,895
BOT,0.4085480077387072,1867
RIC,0.4248299696445235,1248
DOO,0.4262630856144405,171
SAR,0.43838815702544187,1051
MSC,0.46324083854757897,383
LAT,0.48609968053374025,387
