Feature,Importance
Prev_Delta,0.08389487
TrackTemp,0.058519043
Grip_Aero_Balance,0.05436015
Asphalt_Grip_1_5,0.05354506
Wear_Severity_Index,0.053408444
Tyre_Stress_1_5,0.029623032
Track_Flow_Type,0.020829381
Total_Min_Pressure,0.020717656
Downforce_1_5,0.019594105
Asphalt_Abrasion_1_5,0.018598149
Location_Encoded,0.017134255
Track_Evolution_1_5,0.01696765
Circuit_Length_KM,0.016424082
Lap_Damage,0.015420517
Position,0.014490444
FuelLoad,0.013463356
Std_Speed_CV,0.013295264
Pressure,0.013028336
Prev_LapTime,0.012902915
Track_Evolution_Physics,0.012726641
Min_Pressure_Front_PSI,0.012268641
Min_Pressure_Rear_PSI,0.012107139
WindDirection,0.012049649
Humidity,0.011551217
Pressure_Delta,0.011390512
Braking_1_5,0.011356366
Lag_2,0.01133252
E_lap,0.011225191
Mean_Brake_Fraction,0.011097864
Mean_Throttle_On_Dist_Norm,0.010934501
TyreLife,0.010847639
Tyre_Compound_Interaction,0.010844192
P_1,0.010823973
AirTemp,0.010692781
Compound_Int,0.010650182
Tyre_Grip_Index,0.010574454
Std_Throttle_Integral_Norm,0.010322919
Std_Brake_Point_Norm,0.010273328
LatOffset_Std,0.010244022
Mean_Apex_Speed_Ratio,0.010203937
Dirty_Air_Fraction,0.010203515
Cumulative_Field_Dist_KM,0.010169783
WindSpeed,0.01001415
P_2,0.009991591
DRS_Fraction,0.009721163
Mean_Brake_Point_Norm,0.009521513
P_0,0.009195196
Accumulated_Tyre_Wear,0.009191604
Lateral_1_5,0.00916326
Traction_1_5,0.009097332
Gap_To_Car_Ahead,0.0090802815
Rolling_Avg_3,0.008920266
LapNumber,0.0088919895
Mean_Throttle_Integral_Norm,0.008788229
Style_Entropy,0.008758565
Std_Throttle_On_Dist_Norm,0.008683233
Mean_Speed_CV,0.008563307
Std_Brake_Fraction,0.008395821
Year,0.007981244
Aero_Loss,0.007964259
Std_Apex_Speed_Ratio,0.007950397
Stint,0.007809091
Driver_Encoded,0.007522378
LatOffset_Mean,0.007374691
Team_Encoded,0.007312696
Style_Cluster_ID,0.0
